Points_0,Pressure_Coefficient,,,Points_0,Pressure_Coefficient
0.99975,0.936567,,,0.99975,0.978408
0.999,0.573165,,,0.999,0.633572
0.99776,0.516982,,,0.99776,0.592596
0.99602,0.457284,,,0.99602,0.552412
0.99378,0.414072,,,0.99378,0.529813
0.99105,0.381572,,,0.99105,0.512974
0.98784,0.352594,,,0.98784,0.489473
0.98413,0.326876,,,0.98413,0.453997
0.97995,0.30327,,,0.97995,0.402285
0.97528,0.281328,,,0.97528,0.334543
0.97015,0.260703,,,0.97015,0.25478
0.96454,0.241134,,,0.96454,0.171695
0.95847,0.222462,,,0.95847,0.0993053
0.95194,0.20455,,,0.95194,0.0492828
0.94496,0.187303,,,0.94496,0.0246218
0.93754,0.170649,,,0.93754,0.0195395
0.92969,0.154509,,,0.92969,0.024247
0.9214,0.138813,,,0.9214,0.0298928
0.9127,0.123533,,,0.9127,0.0309881
0.90358,0.108614,,,0.90358,0.0257579
0.89406,0.0940387,,,0.89406,0.0148621
0.88415,0.0797761,,,0.88415,4.46E-06
0.87385,0.0657718,,,0.87385,-0.0170342
0.86318,0.0520269,,,0.86318,-0.0348557
0.85216,0.0384758,,,0.85216,-0.0526613
0.84077,0.0250994,,,0.84077,-0.0701463
0.82905,0.0118747,,,0.82905,-0.0873411
0.81701,-0.00121788,,,0.81701,-0.104422
0.80464,-0.0141956,,,0.80464,-0.121566
0.79197,-0.0270574,,,0.79197,-0.138851
0.77901,-0.0398182,,,0.77901,-0.156313
0.76578,-0.0525271,,,0.76578,-0.174027
0.75228,-0.0652659,,,0.75228,-0.19207
0.73852,-0.0780534,,,0.73852,-0.210353
0.72453,-0.0908718,,,0.72453,-0.228655
0.71032,-0.103756,,,0.71032,-0.246783
0.69589,-0.116671,,,0.69589,-0.264579
0.68127,-0.129706,,,0.68127,-0.281979
0.66647,-0.142852,,,0.66647,-0.298848
0.6515,-0.156155,,,0.6515,-0.315092
0.63638,-0.169642,,,0.63638,-0.330599
0.62113,-0.183321,,,0.62113,-0.345223
0.60576,-0.197246,,,0.60576,-0.358825
0.59028,-0.211412,,,0.59028,-0.371247
0.57471,-0.22584,,,0.57471,-0.382482
0.55906,-0.240494,,,0.55906,-0.392621
0.54336,-0.255394,,,0.54336,-0.4018
0.52761,-0.270511,,,0.52761,-0.409888
0.51184,-0.285805,,,0.51184,-0.416512
0.49605,-0.301108,,,0.49605,-0.421252
0.48027,-0.316544,,,0.48027,-0.424108
0.46451,-0.333,,,0.46451,-0.425643
0.44878,-0.351433,,,0.44878,-0.426249
0.43311,-0.369711,,,0.43311,-0.424312
0.4175,-0.381809,,,0.4175,-0.415038
0.40197,-0.382728,,,0.40197,-0.392721
0.38654,-0.37845,,,0.38654,-0.360723
0.37123,-0.392666,,,0.37123,-0.346929
0.35604,-0.452663,,,0.35604,-0.396904
0.34099,-0.549204,,,0.34099,-0.529817
0.32611,-0.6231,,,0.32611,-0.651859
0.3114,-0.650202,,,0.3114,-0.696556
0.29687,-0.648592,,,0.29687,-0.698267
0.28255,-0.638411,,,0.28255,-0.692888
0.26845,-0.628378,,,0.26845,-0.693236
0.25457,-0.619189,,,0.25457,-0.69669
0.24094,-0.60916,,,0.24094,-0.69925
0.22757,-0.597697,,,0.22757,-0.700343
0.21447,-0.585025,,,0.21447,-0.700379
0.20166,-0.571578,,,0.20166,-0.699156
0.18914,-0.557253,,,0.18914,-0.695507
0.17693,-0.541372,,,0.17693,-0.688498
0.16504,-0.523231,,,0.16504,-0.678394
0.15349,-0.502872,,,0.15349,-0.666506
0.14229,-0.480848,,,0.14229,-0.653376
0.13144,-0.457591,,,0.13144,-0.638036
0.12095,-0.432891,,,0.12095,-0.619034
0.11085,-0.406249,,,0.11085,-0.59561
0.10113,-0.377406,,,0.10113,-0.567984
0.09181,-0.346264,,,0.09181,-0.536167
0.0829,-0.312619,,,0.0829,-0.499784
0.0744,-0.276273,,,0.0744,-0.458256
0.06633,-0.236843,,,0.06633,-0.410778
0.05869,-0.193951,,,0.05869,-0.35664
0.05149,-0.147093,,,0.05149,-0.294894
0.04474,-0.0953707,,,0.04474,-0.224184
0.03844,-0.0379118,,,0.03844,-0.143269
0.0326,0.026285,,,0.0326,-0.051042
0.02723,0.0984788,,,0.02723,0.0534545
0.02232,0.180231,,,0.02232,0.171249
0.0179,0.273134,,,0.0179,0.302335
0.01395,0.379065,,,0.01395,0.445679
0.01049,0.498853,,,0.01049,0.597764
0.00752,0.631754,,,0.00752,0.753137
0.00504,0.774201,,,0.00504,0.901476
0.00305,0.919769,,,0.00305,1.03157
0.00156,1.04306,,,0.00156,1.12009
0.00056,1.14686,,,0.00056,1.1686
6.00E-05,1.1658,,,6.00E-05,1.13084
0,1.12575,,,0,1.0499
6.00E-05,1.10879,,,6.00E-05,1.00029
0.00056,0.998612,,,0.00056,0.841422
0.00156,0.791235,,,0.00156,0.555895
0.00305,0.597543,,,0.00305,0.289043
0.00504,0.404505,,,0.00504,0.0388317
0.00752,0.229957,,,0.00752,-0.178712
0.01049,0.0793124,,,0.01049,-0.354094
0.01395,-0.0481752,,,0.01395,-0.490339
0.0179,-0.15559,,,0.0179,-0.593502
0.02232,-0.246499,,,0.02232,-0.670247
0.02723,-0.323789,,,0.02723,-0.726378
0.0326,-0.390214,,,0.0326,-0.766912
0.03844,-0.448007,,,0.03844,-0.79566
0.04474,-0.498954,,,0.04474,-0.816216
0.05149,-0.544066,,,0.05149,-0.830684
0.05869,-0.584173,,,0.05869,-0.839756
0.06633,-0.620424,,,0.06633,-0.843969
0.0744,-0.653989,,,0.0744,-0.844295
0.0829,-0.685475,,,0.0829,-0.841869
0.09181,-0.715092,,,0.09181,-0.838157
0.10113,-0.742615,,,0.10113,-0.834514
0.11085,-0.767653,,,0.11085,-0.83086
0.12095,-0.790382,,,0.12095,-0.825702
0.13144,-0.811967,,,0.13144,-0.817978
0.14229,-0.833406,,,0.14229,-0.808363
0.15349,-0.85459,,,0.15349,-0.798569
0.16504,-0.874198,,,0.16504,-0.789753
0.17693,-0.891997,,,0.17693,-0.782265
0.18914,-0.908639,,,0.18914,-0.775804
0.20166,-0.92507,,,0.20166,-0.769703
0.21447,-0.941177,,,0.21447,-0.763238
0.22757,-0.956351,,,0.22757,-0.75611
0.24094,-0.969941,,,0.24094,-0.748526
0.25457,-0.981997,,,0.25457,-0.741099
0.26845,-0.992769,,,0.26845,-0.734353
0.28255,-1.00273,,,0.28255,-0.728574
0.29687,-1.01222,,,0.29687,-0.723817
0.3114,-1.02136,,,0.3114,-0.720198
0.32611,-1.03035,,,0.32611,-0.717934
0.34099,-1.03918,,,0.34099,-0.717056
0.35604,-1.04782,,,0.35604,-0.717152
0.37123,-1.05579,,,0.37123,-0.717474
0.38654,-1.06283,,,0.38654,-0.717432
0.40197,-1.06922,,,0.40197,-0.716566
0.4175,-1.07553,,,0.4175,-0.714476
0.43311,-1.08196,,,0.43311,-0.712213
0.44878,-1.08839,,,0.44878,-0.714586
0.46451,-1.09432,,,0.46451,-0.724398
0.48027,-1.0997,,,0.48027,-0.725166
0.49605,-1.10394,,,0.49605,-0.674577
0.51184,-1.10765,,,0.51184,-0.534677
0.52761,-1.11108,,,0.52761,-0.393134
0.54336,-1.11373,,,0.54336,-0.350075
0.55906,-1.11112,,,0.55906,-0.367269
0.57471,-1.1089,,,0.57471,-0.388917
0.59028,-1.11424,,,0.59028,-0.388622
0.60576,-1.11061,,,0.60576,-0.368586
0.62113,-0.918507,,,0.62113,-0.340462
