"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.309334632,      -4.051271426,      -4.524355141,      -3.991307111
          0,           0,           1,      -3.877430323,      -3.769699434,      -3.747886107,      -4.222569061
          0,           0,           2,       -3.60068115,      -3.505183628,         -3.634381,      -4.075960744
          0,           0,           3,      -3.594318682,      -3.463557366,      -3.715899273,      -4.084061255
          0,           0,           4,      -3.516875605,      -3.344536314,      -3.689945918,      -4.028906604
          0,           0,           5,      -3.533595808,      -3.328939111,      -3.735022383,      -4.030669422
          0,           0,           6,      -3.541299802,      -3.318132306,       -3.75061537,      -3.999663638
          0,           0,           7,      -3.560918368,      -3.322217227,      -3.752327995,      -3.977499384
          0,           0,           8,      -3.587936723,      -3.342426217,      -3.778843709,      -3.999795921
          0,           0,           9,       -3.61542634,      -3.373809534,      -3.806757988,      -4.036158354
          0,           0,          10,      -3.641645305,      -3.412960593,      -3.834503762,      -4.068000454
          0,           0,          11,      -3.665556411,      -3.456402119,      -3.859072528,      -4.098637635
          0,           0,          12,       -3.68465581,      -3.498441197,      -3.873634363,      -4.129235724
          0,           0,          13,      -3.694646479,      -3.526026018,      -3.878559028,      -4.149530081
          0,           0,          14,      -3.690060629,      -3.527554681,      -3.876991727,      -4.152868043
          0,           0,          15,      -3.672021589,      -3.506022521,      -3.872482327,      -4.144093625
          0,           0,          16,      -3.649382469,      -3.475218509,      -3.869838411,      -4.131242487
          0,           0,          17,      -3.630913866,      -3.447401908,      -3.873473722,       -4.12084289
          0,           0,          18,      -3.621886124,      -3.429120931,      -3.885593717,      -4.117617465
          0,           0,          19,      -3.624749725,      -3.422819412,       -3.90532348,      -4.124215356
          0,           0,          20,      -3.639860241,      -3.428717987,      -3.929050247,      -4.141172858
          0,           0,          21,       -3.66573308,      -3.445861095,      -3.952160209,      -4.167384058
          0,           0,          22,      -3.698952956,       -3.47245556,      -3.971555017,       -4.20067923
          0,           0,          23,      -3.731095745,       -3.50354498,       -3.98314449,      -4.233052538
          0,           0,          24,      -3.761195195,      -3.539527125,      -3.988304672,      -4.262918849
          0,           0,          25,      -3.787137359,      -3.577862029,      -4.006573543,      -4.298861053
          0,           0,          26,      -3.811723365,      -3.618375803,      -4.028113322,        -4.3340639
          0,           0,          27,      -3.832800608,      -3.655540383,      -4.054066712,      -4.369496892
          0,           0,          28,      -3.851827503,      -3.684801227,      -4.092261837,      -4.403156503
          0,           0,          29,      -3.872455356,      -3.706880799,      -4.137526032,      -4.435277681
          0,           0,          30,      -3.894910924,       -3.72201026,      -4.184783899,      -4.464240255
          0,           0,          31,      -3.920677071,      -3.733504976,      -4.231955179,      -4.489578694
          0,           0,          32,      -3.951226654,      -3.746288391,      -4.272917947,      -4.512834405
          0,           0,          33,      -3.986822069,      -3.763854232,      -4.303968732,      -4.535976352
          0,           0,          34,      -4.024647266,       -3.78617074,      -4.326031077,       -4.55993679
          0,           0,          35,      -4.061413332,      -3.814532309,       -4.32995007,      -4.573097941
          0,           0,          36,      -4.101629305,      -3.851718389,      -4.351211446,      -4.605750418
          0,           0,          37,      -4.144768905,      -3.898708757,      -4.373857756,      -4.644189955
          0,           0,          38,      -4.183202197,      -3.950210514,      -4.399825461,      -4.689458266
          0,           0,          39,      -4.215145465,      -3.998429428,      -4.440352291,      -4.733998356
          0,           0,          40,      -4.243234728,       -4.03978344,      -4.488284071,      -4.777743541
          0,           0,          41,         -4.266658,      -4.068798563,      -4.539484192,      -4.816115706
          0,           0,          42,      -4.289281335,      -4.085613547,      -4.595845249,      -4.843864751
          0,           0,          43,      -4.316183492,      -4.097307012,      -4.649234227,      -4.863873268
          0,           0,          44,      -4.349988471,      -4.110691785,      -4.691614462,      -4.881578701
          0,           0,          45,      -4.391486051,      -4.129842711,      -4.722629885,      -4.904208776
          0,           0,          46,      -4.430606619,      -4.150663819,       -4.71736493,      -4.899418806
          0,           0,          47,      -4.479284562,      -4.185183307,      -4.728804623,       -4.93176576
          0,           0,          48,      -4.530513149,       -4.22945401,      -4.748484844,      -4.967271733
          0,           0,          49,      -4.580291396,      -4.283703499,      -4.769652289,      -5.012416593
          0,           0,          50,      -4.623730151,      -4.341239632,      -4.802893473,      -5.062176888
          0,           0,          51,      -4.658469067,      -4.395404282,      -4.847921369,      -5.112540207
          0,           0,          52,      -4.683110102,      -4.438338874,      -4.901951744,      -5.159252357
          0,           0,          53,      -4.702962041,      -4.466243079,      -4.963656609,      -5.195977094
          0,           0,          54,      -4.724809374,      -4.483489127,      -5.024865985,      -5.223378018
          0,           0,          55,      -4.752094752,      -4.497261004,      -5.076701474,      -5.245914864
          0,           0,          56,      -4.786491335,      -4.513780155,      -5.115750687,      -5.268512436
          0,           0,          57,      -4.827444013,      -4.535882411,      -5.139288574,      -5.296593829
          0,           0,          58,       -4.86638707,      -4.560740793,      -5.125938529,      -5.298483708
          0,           0,          59,      -4.909918256,       -4.59651429,      -5.136052086,      -5.332248381
          0,           0,          60,      -4.957169961,      -4.642759922,      -5.159396181,      -5.372682485
          0,           0,          61,      -5.006276374,      -4.699367234,      -5.184941955,      -5.422429325
          0,           0,          62,      -5.051792837,      -4.758784585,      -5.222331714,      -5.474459967
          0,           0,          63,      -5.091399325,      -4.815223505,      -5.273278734,      -5.527461592
          0,           0,          64,      -5.123533708,      -4.862787639,      -5.332830798,      -5.578623652
          0,           0,          65,      -5.151555831,      -4.898325377,       -5.39843039,      -5.622481998
          0,           0,          66,      -5.179662241,      -4.924846829,      -5.463892218,      -5.660326258
          0,           0,          67,      -5.209133509,       -4.94707372,      -5.522541787,      -5.694915137
          0,           0,          68,      -5.239458756,      -4.968323982,      -5.565915671,       -5.72581687
          0,           0,          69,      -5.264371154,      -4.987340184,      -5.573752121,      -5.741654361
          0,           0,          70,      -5.283825605,      -5.008307991,       -5.57503457,      -5.760192625
          0,           0,          71,      -5.302785184,      -5.034891039,      -5.581139309,      -5.784956857
          0,           0,          72,      -5.325489939,       -5.07023663,      -5.589085129,      -5.817944674
          0,           0,          73,      -5.350796727,      -5.111549952,      -5.605028127,      -5.858308037
          0,           0,          74,      -5.378393608,      -5.154907989,      -5.634103092,      -5.902235306
          0,           0,          75,      -5.408883132,       -5.19816552,       -5.67588273,       -5.94912084
          0,           0,          76,      -5.442420265,      -5.239669492,      -5.729760156,      -5.997065253
          0,           0,          77,      -5.475715536,       -5.27567694,      -5.784658404,      -6.035163226
          0,           0,          78,      -5.509100815,      -5.308769447,      -5.826163758,      -6.065988426
          0,           0,          79,      -5.541583345,      -5.339886543,      -5.868933188,      -6.099755394
          0,           0,          80,      -5.574785969,       -5.37226008,      -5.904867117,      -6.129082018
          0,           0,          81,      -5.609565737,      -5.409661586,       -5.92485815,      -6.159940677
          0,           0,          82,      -5.641280627,       -5.44927415,      -5.937276591,      -6.192372677
          0,           0,          83,       -5.66669487,      -5.486565937,      -5.948987772,       -6.22355481
          0,           0,          84,      -5.684175174,        -5.5161164,      -5.962443194,      -6.249863381
          0,           0,          85,      -5.694072888,      -5.533264511,      -5.979624342,      -6.268124697
          0,           0,          86,      -5.699601036,      -5.538521746,      -6.000748621,      -6.279660069
          0,           0,          87,      -5.705038626,      -5.537081073,      -6.026175623,      -6.288070452
          0,           0,          88,      -5.714892644,      -5.536095999,      -6.057081071,      -6.299134844
          0,           0,          89,      -5.724781453,      -5.533449443,      -6.084167217,      -6.308093889
          0,           0,          90,      -5.741841414,      -5.540508349,      -6.094705408,      -6.310375253
          0,           0,          91,      -5.763667411,      -5.555404399,      -6.109088058,      -6.326502306
          0,           0,          92,      -5.793135607,      -5.581973419,      -6.118509879,      -6.348770384
          0,           0,          93,      -5.826552301,      -5.618685566,      -6.122491952,      -6.380272608
          0,           0,          94,      -5.857344947,      -5.658900455,      -6.128993068,      -6.412535605
          0,           0,          95,        -5.8815017,      -5.695700691,      -6.137964232,      -6.442276914
          0,           0,          96,      -5.895469685,       -5.71959337,      -6.147981315,        -6.4630028
          0,           0,          97,      -5.898927334,      -5.723334746,      -6.161285539,      -6.468934389
          0,           0,          98,      -5.895818624,       -5.70934458,      -6.176849742,      -6.461840476
          0,           0,          99,      -5.891157026,      -5.686494292,      -6.192886188,      -6.447369137
          0,           0,         100,      -5.889200736,      -5.663566496,      -6.208652693,      -6.431367632
          0,           0,         101,      -5.892952129,      -5.646464446,      -6.223175909,      -6.418857936
          0,           0,         102,       -5.90422713,      -5.638362975,       -6.23567596,      -6.413435393
          0,           0,         103,      -5.924046576,      -5.640795465,      -6.247212057,      -6.418010627
          0,           0,         104,      -5.952893103,      -5.654555136,      -6.264468303,      -6.441560753
          0,           0,         105,      -5.980632709,      -5.672719918,      -6.251524727,      -6.436511929
          0,           0,         106,      -6.016723616,      -5.703842048,      -6.264828746,      -6.468938946
          0,           0,         107,      -6.056377642,      -5.742742381,      -6.284928751,      -6.504270392
          0,           0,         108,      -6.096756146,      -5.790230803,      -6.305237295,      -6.549199604
          0,           0,         109,      -6.131454798,      -5.840498005,      -6.330934963,      -6.599042458
          0,           0,         110,      -6.154608894,      -5.885652132,       -6.36221189,      -6.645478137
          0,           0,         111,      -6.164944423,      -5.917932924,      -6.395968984,       -6.68189699
          0,           0,         112,      -6.165891475,      -5.933039355,      -6.429600683,      -6.703149407
          0,           0,         113,      -6.162987542,      -5.933239893,      -6.460594284,      -6.709404664
          0,           0,         114,      -6.161131681,      -5.925351953,      -6.486869083,      -6.705491209
          0,           0,         115,      -6.163754845,      -5.916468943,      -6.507231763,      -6.697727253
          0,           0,         116,        -6.1729611,      -5.911676634,      -6.521657358,      -6.691641025
          0,           0,         117,      -6.189897414,      -5.913912287,      -6.531706675,      -6.690956275
          0,           0,         118,      -6.215093428,       -5.92463778,      -6.540287367,      -6.697796951
          0,           0,         119,      -6.248679933,      -5.944490727,      -6.550769828,      -6.713414947
          0,           0,         120,      -6.290406202,      -5.973670521,      -6.566526831,      -6.739202534
          0,           0,         121,      -6.338369789,      -6.011493304,       -6.59109267,      -6.779353939
          0,           0,         122,      -6.383327149,      -6.052066039,      -6.594570581,      -6.800036793
          0,           0,         123,      -6.434600837,      -6.102505734,       -6.62333101,      -6.845087901
          0,           0,         124,      -6.484649058,      -6.156953848,       -6.66803491,      -6.895329045
          0,           0,         125,       -6.52890274,      -6.215134068,      -6.712436535,      -6.953911227
          0,           0,         126,       -6.56011383,      -6.269228354,      -6.761951739,      -7.013256269
          0,           0,         127,      -6.575135693,      -6.311233013,      -6.816848301,       -7.06287808
          0,           0,         128,      -6.578666566,      -6.338433931,      -6.869493544,      -7.100650787
          0,           0,         129,      -6.577046346,      -6.352296295,      -6.914569997,      -7.125554976
          0,           0,         130,      -6.575286245,      -6.357403628,      -6.949552193,      -7.138622888
          0,           0,         131,      -6.576872102,      -6.359519512,      -6.972700994,      -7.144067478
          0,           0,         132,      -6.583778166,       -6.36331475,      -6.984995597,      -7.147070596
          0,           0,         133,      -6.596899661,      -6.371658559,      -6.990890214,       -7.15166244
          0,           0,         134,      -6.616552852,      -6.386028776,      -6.995731994,       -7.16030637
          0,           0,         135,      -6.642741935,      -6.407052377,      -7.003507472,      -7.174317208
          0,           0,         136,      -6.675227074,      -6.434832438,      -7.016532807,      -7.194256523
          0,           0,         137,      -6.713472346,       -6.46908721,      -7.035963731,      -7.220158722
          0,           0,         138,      -6.756512779,      -6.509169879,      -7.062231548,      -7.251665142
          0,           0,         139,      -6.802749795,       -6.55399563,      -7.095237802,      -7.288093569
          0,           0,         140,      -6.849720771,      -6.601895269,      -7.134383612,      -7.328444389
          0,           0,         141,      -6.894028619,       -6.65047056,      -7.178519759,      -7.371386047
          0,           0,         142,      -6.931818038,      -6.696652409,      -7.225928051,      -7.415385291
          0,           0,         143,      -6.960135371,      -6.737260282,      -7.274791298,      -7.459731838
          0,           0,         144,      -6.976873339,      -6.768498789,      -7.323780282,      -7.504456167
          0,           0,         145,      -6.982807322,      -6.789156469,      -7.362360438,      -7.535695267
          0,           0,         146,      -6.984141597,      -6.802969997,       -7.39068594,      -7.561444117
          0,           0,         147,      -6.982449112,      -6.810949613,      -7.410151075,      -7.582064911
          0,           0,         148,      -6.980691816,      -6.816595546,       -7.42478631,      -7.600328138
          0,           0,         149,      -6.981898772,      -6.823086433,      -7.433021638,      -7.616621245
          0,           0,         150,      -6.987091771,      -6.832015298,      -7.437397332,      -7.631026137
          0,           0,         151,      -6.996443661,      -6.843949561,      -7.441576908,      -7.644867489
