"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632817663925927e-05, 1.286276453823886e+00, 7.582028986349370e-01, 1.100955027432420e-01, 3.692624921708256e+00
1, 9.990000128750000e-01, -1.452039888819337e-04, 1.145258946676341e+00, 7.380880052892848e-01, 1.069058690276919e-01, 3.299127672333534e+00
2, 9.977599978450000e-01, -3.245659550031078e-04, 1.133145330338713e+00, 7.905073003684099e-01, 1.137631113783983e-01, 3.276000310738008e+00
3, 9.960200190539999e-01, -5.740594451280255e-04, 1.115226977358092e+00, 8.156512878580623e-01, 1.158475438294988e-01, 3.231995251666241e+00
4, 9.937800168990000e-01, -8.898455345806909e-04, 1.101053786991374e+00, 8.293606882620482e-01, 1.151663719124987e-01, 3.196050153544352e+00
5, 9.910500049590000e-01, -1.264203672815699e-03, 1.091249955027473e+00, 8.424023348819627e-01, 1.131478679532578e-01, 3.172013444384052e+00
6, 9.878399968150000e-01, -1.687683551255127e-03, 1.083109102848572e+00, 8.513674397192165e-01, 1.095789600342960e-01, 3.151664222220636e+00
7, 9.841300249100000e-01, -2.154869890304077e-03, 1.077483662737519e+00, 8.580354038253212e-01, 1.054383952721763e-01, 3.137700481560667e+00
8, 9.799500107769999e-01, -2.657232666428870e-03, 1.074101461946616e+00, 8.621691405354331e-01, 1.016912175645211e-01, 3.129316862079178e+00
9, 9.752799868580000e-01, -3.198715120535020e-03, 1.072476680259577e+00, 8.642600664515284e-01, 9.944053632646076e-02, 3.125307214616313e+00
10, 9.701499938960000e-01, -3.784808696472900e-03, 1.071716891132674e+00, 8.650934855061151e-01, 9.938229111175947e-02, 3.123426576524173e+00
11, 9.645400047300000e-01, -4.432528631170281e-03, 1.070800517142530e+00, 8.656465499937412e-01, 1.016008233091030e-01, 3.121115995098519e+00
12, 9.584699869160000e-01, -5.155689600962909e-03, 1.068913430937688e+00, 8.668109047655448e-01, 1.055423431232703e-01, 3.116351850075422e+00
13, 9.519400000570000e-01, -5.966697166939057e-03, 1.065650011621863e+00, 8.691077057441420e-01, 1.102516907117390e-01, 3.108131471027978e+00
14, 9.449599981310000e-01, -6.869515281253668e-03, 1.061057301864994e+00, 8.726356385143423e-01, 1.147473533488495e-01, 3.096588399401149e+00
15, 9.375399947170000e-01, -7.860228015378199e-03, 1.055502061787724e+00, 8.771033772282288e-01, 1.183140664353669e-01, 3.082641533682723e+00
16, 9.296900033950000e-01, -8.929312585161100e-03, 1.049477960537769e+00, 8.820452250729558e-01, 1.206525579120787e-01, 3.067520933668580e+00
17, 9.214000105860000e-01, -1.006797237440972e-02, 1.043439954553246e+00, 8.869974237163649e-01, 1.218371730964752e-01, 3.052356173659862e+00
18, 9.126999974250000e-01, -1.126304461518671e-02, 1.037703963195700e+00, 8.916463371863651e-01, 1.221758999600363e-01, 3.037936439392839e+00
19, 9.035800099370001e-01, -1.250971920359558e-02, 1.032372214278258e+00, 8.958553638921248e-01, 1.220341489528694e-01, 3.024512542995555e+00
20, 8.940600156780000e-01, -1.380219814451254e-02, 1.027404886131026e+00, 8.996557448564754e-01, 1.217132816694464e-01, 3.011988992908671e+00
21, 8.841500282290000e-01, -1.513837672062759e-02, 1.022676332161944e+00, 9.031462593577081e-01, 1.213924568267236e-01, 3.000051997242717e+00
22, 8.738499879840000e-01, -1.651864067958489e-02, 1.018020115692857e+00, 9.064209295671166e-01, 1.211322224319915e-01, 2.988274237816003e+00
23, 8.631799817090000e-01, -1.794077046134026e-02, 1.013339550814466e+00, 9.096233315929606e-01, 1.209212495503180e-01, 2.976429288122468e+00
24, 8.521599769590000e-01, -1.940201354922102e-02, 1.008526194543969e+00, 9.127826712002586e-01, 1.206960792763955e-01, 2.964229532703135e+00
25, 8.407700061800000e-01, -2.090401271863862e-02, 1.003544305971091e+00, 9.159529916692116e-01, 1.203917567285579e-01, 2.951591085911975e+00
26, 8.290500044819999e-01, -2.243956046457565e-02, 9.983779786143371e-01, 9.191341682932612e-01, 1.199434565712691e-01, 2.938470102868204e+00
27, 8.170099854470000e-01, -2.400460359343217e-02, 9.930294576701275e-01, 9.223234859068542e-01, 1.193015301177833e-01, 2.924871688341074e+00
28, 8.046399950980000e-01, -2.559696837427157e-02, 9.875177502210282e-01, 9.255017630201896e-01, 1.184289522092269e-01, 2.910842158301471e+00
29, 7.919700145720000e-01, -2.720876552219895e-02, 9.818709169142688e-01, 9.286409759537865e-01, 1.172968249205198e-01, 2.896449833902795e+00
30, 7.790099978450000e-01, -2.883429838483979e-02, 9.761267449096506e-01, 9.317397227808766e-01, 1.158910052227866e-01, 2.881796525843274e+00
31, 7.657799720760000e-01, -3.046631725846072e-02, 9.702993484179783e-01, 9.347605144605023e-01, 1.141973024202159e-01, 2.866910276437469e+00
32, 7.522799968720000e-01, -3.209983427086093e-02, 9.643972741061675e-01, 9.376827407023034e-01, 1.122111262362245e-01, 2.851808795857144e+00
33, 7.385200262070000e-01, -3.372847522972509e-02, 9.584638631947832e-01, 9.405034361827386e-01, 1.099361649550346e-01, 2.836608093751286e+00
34, 7.245299816130000e-01, -3.534355474826853e-02, 9.525667010221900e-01, 9.432032082720271e-01, 1.073789899173614e-01, 2.821484185188098e+00
35, 7.103199958800001e-01, -3.693890830034592e-02, 9.467477669269848e-01, 9.457301933534087e-01, 1.045493627969182e-01, 2.806534612754202e+00
36, 6.958900094030001e-01, -3.850967005908427e-02, 9.410990557632209e-01, 9.481234170347554e-01, 1.014743374154308e-01, 2.792016467748077e+00
37, 6.812700033190000e-01, -4.004802752901128e-02, 9.356343863415738e-01, 9.502989817080353e-01, 9.816913266141700e-02, 2.777941517688769e+00
38, 6.664699912070000e-01, -4.154885848796525e-02, 9.304447828157689e-01, 9.523066140307139e-01, 9.467111778138006e-02, 2.764566466765781e+00
39, 6.514999866490000e-01, -4.300753732658613e-02, 9.255758913015311e-01, 9.541134794821765e-01, 9.101115061289845e-02, 2.752002158395768e+00
40, 6.363800168040000e-01, -4.441908645478523e-02, 9.210984027323383e-01, 9.557239967660708e-01, 8.722608851409246e-02, 2.740436801215009e+00
41, 6.211299896240000e-01, -4.577931668719559e-02, 9.170818298722169e-01, 9.571369280584062e-01, 8.335317813982694e-02, 2.730053378644474e+00
42, 6.057599782940000e-01, -4.708566158082264e-02, 9.135994548596771e-01, 9.583516734319920e-01, 7.942951191360387e-02, 2.721044769223435e+00
43, 5.902799963950000e-01, -4.833620678573552e-02, 9.107309446357035e-01, 9.593730517985419e-01, 7.549130347128725e-02, 2.713622262701177e+00
44, 5.747100114820000e-01, -4.952892644320729e-02, 9.085227094524486e-01, 9.602078528517057e-01, 7.157120120007275e-02, 2.707909219921774e+00
