"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633214858529130e-05, 5.724052297300114e-01, -1.321474595282229e+00, -1.345063583597935e-01, 3.564288254832065e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.300657895522054e+00
1, 9.990000128750000e-01, -1.454547003937476e-04, 4.051998607151033e-02, -2.138336866927902e-01, -9.886948432999972e-02, 3.305997796004397e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.346523619287178e+00
2, 9.977599978450000e-01, -3.273141032555298e-04, 1.436813021624122e-02, -1.256045370498095e-01, -1.359020166854054e-01, 1.997468464556096e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.104347935559514e-01
3, 9.960200190539999e-01, -5.888841132114306e-04, -1.868853226360684e-02, -6.005020119402729e-02, -1.313922202446783e-01, 7.025059843648819e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.053832665666037e-01
4, 9.937800168990000e-01, -9.433293452198236e-04, -5.140241111883588e-02, -3.993327986998505e-04, -1.394867483543279e-01, -5.948561815806080e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.923862559265112e-02
5, 9.910500049590000e-01, -1.411702083170284e-03, -6.706742536616374e-02, 2.970179146180216e-02, -1.523337139754858e-01, -1.157819443761238e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.909253134700253e-02
6, 9.878399968150000e-01, -2.021931843244685e-03, -7.324056428910089e-02, 4.488226601788980e-02, -1.697924958665628e-01, -1.432024941070972e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.924806787155251e-02
7, 9.841300249100000e-01, -2.807537394514302e-03, -6.883673473698401e-02, 4.416049247063722e-02, -1.907008517933129e-01, -1.401751753106053e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.208049499218184e-02
8, 9.799500107769999e-01, -3.779369506179586e-03, -5.303016881918159e-02, 2.679947002860545e-02, -2.122043207006837e-01, -1.061379749580235e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.598370848608099e-02
9, 9.752799868580000e-01, -4.934894718877017e-03, -2.644483632554561e-02, -6.114934616387865e-03, -2.303897145472057e-01, -4.308601307044430e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.995119555425686e-02
10, 9.701499938960000e-01, -6.230586483396788e-03, 8.291863966941398e-03, -5.068108140221465e-02, -2.411656973916100e-01, 4.217658165351352e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.418698490464192e-02
11, 9.645400047300000e-01, -7.612813731910912e-03, 4.627662529303710e-02, -1.001051196977221e-01, -2.414916073282939e-01, 1.370288912894568e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.539726709146624e-03
12, 9.584699869160000e-01, -9.012100155016526e-03, 8.047100879774734e-02, -1.451934453473613e-01, -2.307555856333624e-01, 2.235938070962688e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.853134005391780e-03
13, 9.519400000570000e-01, -1.037772314374445e-02, 1.042254053766890e-01, -1.773982521926741e-01, -2.119503789798416e-01, 2.838890113937090e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.122628462772434e-03
14, 9.449599981310000e-01, -1.168424258880262e-02, 1.143673520815474e-01, -1.925051083990560e-01, -1.905026241611691e-01, 3.091305483219642e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.443133708119199e-03
15, 9.375399947170000e-01, -1.293614878231569e-02, 1.131076700718411e-01, -1.928585937556691e-01, -1.717043253849215e-01, 3.046091118286627e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.672517331840529e-03
16, 9.296900033950000e-01, -1.415915258928913e-02, 1.062465641243752e-01, -1.853090220900385e-01, -1.585422807042686e-01, 2.851835631409837e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.797552185812892e-03
17, 9.214000105860000e-01, -1.538937788678033e-02, 9.922061557130261e-02, -1.766757382823028e-01, -1.510884944394628e-01, 2.656118440478882e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.690353926666210e-03
18, 9.126999974250000e-01, -1.665238262114517e-02, 9.547397892557163e-02, -1.714129967554339e-01, -1.480321455023394e-01, 2.543996087030763e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.930901629577603e-03
19, 9.035800099370001e-01, -1.796843657940975e-02, 9.572101536634575e-02, -1.707059603050605e-01, -1.474142094907166e-01, 2.539754164233048e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.095243390537331e-03
20, 8.940600156780000e-01, -1.934138748329485e-02, 9.961809749880339e-02, -1.743243844285394e-01, -1.477198950649455e-01, 2.629716895455504e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.243797492386511e-03
21, 8.841500282290000e-01, -2.076748733540242e-02, 1.061003094723220e-01, -1.810696692236108e-01, -1.479413760611982e-01, 2.788081826935726e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.522649656301926e-03
22, 8.738499879840000e-01, -2.223968333238217e-02, 1.140375217136846e-01, -1.896292353090283e-01, -1.475595835163986e-01, 2.985551256455303e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.009974424091848e-03
23, 8.631799817090000e-01, -2.374692849825209e-02, 1.226984414869403e-01, -1.990854027545664e-01, -1.465736910234360e-01, 3.200179243286328e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.609849605818427e-03
24, 8.521599769590000e-01, -2.527933799364535e-02, 1.314456606966162e-01, -2.086867299610140e-01, -1.450154381369881e-01, 3.419083342402132e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.388460439835324e-03
25, 8.407700061800000e-01, -2.683435832443469e-02, 1.401932133712964e-01, -2.182777101451392e-01, -1.431494678611875e-01, 3.635919324429893e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.212566931761285e-03
26, 8.290500044819999e-01, -2.840281215952042e-02, 1.488162974257407e-01, -2.277178811500628e-01, -1.410553650584533e-01, 3.851729581624647e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.101889942253306e-03
27, 8.170099854470000e-01, -2.998076154672658e-02, 1.574751736366380e-01, -2.371674112929793e-01, -1.388535134461908e-01, 4.067842271301469e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.973963728786563e-03
28, 8.046399950980000e-01, -3.156721394905697e-02, 1.662873147559677e-01, -2.467506118718845e-01, -1.365692900524925e-01, 4.287922778032042e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.778766016071392e-03
29, 7.919700145720000e-01, -3.315595197176334e-02, 1.753286511357117e-01, -2.565784559421588e-01, -1.341629527514927e-01, 4.514785607620699e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.532625764212437e-03
30, 7.790099978450000e-01, -3.474312073342996e-02, 1.847285597532290e-01, -2.667675709904269e-01, -1.316595578715869e-01, 4.749186863228243e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.277399391000326e-03
