"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.992575696,      -13.30221851,               -32,      -13.31053086,      -1.502417719,      -8.875469433
          0,           0,           1,      -4.720069879,      -3.601005698,               -32,      -3.264749395,      -2.221364843,      -9.257696843
          0,           0,           2,      -4.616521797,      -3.699333418,               -32,      -3.718707173,      -2.122374405,      -9.950309679
          0,           0,           3,      -4.737001791,       -3.73513415,               -32,      -3.812842687,       -2.24393233,      -10.16921936
          0,           0,           4,      -4.894716967,      -3.761964968,               -32,       -3.81032822,      -2.405883528,      -10.33881567
          0,           0,           5,      -4.991822326,      -3.804939676,               -32,      -3.875285182,      -2.507999215,      -10.42918248
          0,           0,           6,       -5.01397757,       -3.86660081,               -32,      -3.969208473,      -2.533266523,      -10.47570676
          0,           0,           7,      -5.014602872,      -3.933074951,               -32,      -4.050348399,      -2.536707315,      -10.50987682
          0,           0,           8,      -5.030025535,      -3.976340484,               -32,      -4.076848749,      -2.551619579,      -10.53835711
          0,           0,           9,      -5.062209905,      -3.978347401,               -32,      -4.050287999,      -2.579808328,      -10.55824458
          0,           0,          10,      -5.086419592,      -3.962071575,               -32,       -4.01420849,      -2.608377486,      -10.56932763
          0,           0,          11,      -5.105248077,      -3.965216747,               -32,      -4.006872174,       -2.62913206,      -10.57730635
          0,           0,          12,      -5.115692984,      -4.000101685,               -32,      -4.035558761,      -2.636577226,      -10.58623433
          0,           0,          13,      -5.117183081,      -4.059010964,               -32,      -4.090343221,      -2.636493582,      -10.59541396
          0,           0,          14,       -5.12093218,       -4.11460779,               -32,      -4.142078252,      -2.639820377,      -10.60053694
          0,           0,          15,      -5.131943087,      -4.136905863,               -32,      -4.159540864,      -2.652535942,      -10.59931146
          0,           0,          16,        -5.1534163,      -4.133381789,               -32,      -4.150798844,      -2.674757611,      -10.59313022
          0,           0,          17,      -5.180990636,      -4.131415524,               -32,       -4.14495214,      -2.700804205,      -10.58478719
          0,           0,          18,      -5.208643024,      -4.145281264,               -32,      -4.157131794,      -2.724744324,      -10.57625016
          0,           0,          19,      -5.224610563,      -4.171829877,               -32,        -4.1835248,      -2.742269928,      -10.56773555
          0,           0,          20,      -5.237737411,      -4.202721587,               -32,      -4.212642255,      -2.755564147,      -10.55967642
