"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.875196878,       -9.67238369,       -16.0478077,       -10.9443717,      -4.268030877,      -10.91762352
          0,           0,           1,      -5.188488839,      -5.081291911,      -5.487936936,      -4.845371525,      -4.550479186,      -11.60766396
          0,           0,           2,      -5.195247167,      -5.017759771,      -5.137936891,       -5.01373179,      -4.558229587,      -11.59912784
          0,           0,           3,      -5.141559627,      -5.013197155,      -4.976640616,      -4.875010393,      -4.517042789,      -11.51888131
          0,           0,           4,      -5.056568191,      -4.984481337,      -4.905739308,      -4.809927488,        -4.4412626,      -11.49133036
          0,           0,           5,      -5.021486532,      -4.990655661,      -4.889788385,      -4.810437854,      -4.412155055,      -11.48424044
          0,           0,           6,      -5.008175857,      -5.029299608,      -4.906191781,      -4.845534282,      -4.402048833,      -11.47231969
          0,           0,           7,      -4.989310868,      -5.083014371,      -4.936479892,      -4.884996506,      -4.385610497,      -11.46271374
          0,           0,           8,      -4.971708955,      -5.129136735,      -4.972332575,      -4.920143866,      -4.370224038,      -11.46560109
          0,           0,           9,      -4.965491035,      -5.139669868,      -5.012174933,      -4.958307441,      -4.361787965,      -11.48253247
          0,           0,          10,      -4.973123086,      -5.120104849,      -5.057468423,      -5.000794066,      -4.362439734,      -11.50869725
          0,           0,          11,      -4.992360193,      -5.109296226,      -5.112061581,      -5.047332471,      -4.376480633,      -11.53810045
          0,           0,          12,      -5.019020924,      -5.128328695,      -5.175792615,      -5.101641875,      -4.405030664,      -11.56870734
          0,           0,          13,      -5.050382645,      -5.173883047,      -5.241962265,      -5.164731531,      -4.443291689,      -11.60039252
          0,           0,          14,      -5.086016064,      -5.229447797,      -5.302744763,      -5.228870466,      -4.483883704,      -11.63405696
          0,           0,          15,      -5.125724598,      -5.278426459,      -5.356841857,      -5.284425699,      -4.522381685,      -11.67014797
          0,           0,          16,      -5.168271954,      -5.318607723,      -5.409662804,      -5.331882011,      -4.559721421,      -11.70755049
          0,           0,          17,      -5.212260755,      -5.360097057,      -5.466574468,      -5.380673872,       -4.59942064,      -11.74173552
          0,           0,          18,      -5.257354658,      -5.411063909,      -5.528684102,      -5.438209236,        -4.6437721,      -11.76480405
          0,           0,          19,      -5.304219471,      -5.471401441,      -5.593056125,      -5.504276126,      -4.692590669,      -11.76835911
          0,           0,          20,      -5.353440969,      -5.535067445,      -5.655564229,      -5.572620118,      -4.744036418,      -11.74765994
          0,           0,          21,      -5.404825604,      -5.596023733,      -5.714141585,      -5.635618606,      -4.796182925,      -11.70361133
          0,           0,          22,      -5.457445603,      -5.653275215,       -5.76978943,       -5.68959282,      -4.848038196,      -11.64311373
          0,           0,          23,      -5.510095513,      -5.710025546,      -5.824469133,      -5.736694649,      -4.899474034,      -11.57452405
          0,           0,          24,      -5.561816881,      -5.768704619,      -5.879287604,      -5.781643742,      -4.950591093,      -11.50424039
          0,           0,          25,      -5.612165276,      -5.827813222,      -5.934112269,       -5.82792655,       -5.00124256,      -11.43725635
          0,           0,          26,       -5.66125346,       -5.88293871,      -5.988421236,        -5.8767535,      -5.051126782,      -11.37653274
          0,           0,          27,      -5.709596982,      -5.930696673,      -6.042232967,      -5.927593889,      -5.100142976,      -11.32389917
          0,           0,          28,      -5.757842228,      -5.971865006,      -6.096022742,      -5.979348133,      -5.148564728,      -11.28003968
          0,           0,          29,      -5.806503461,      -6.010548192,      -6.150021888,      -6.031150432,      -5.196890058,      -11.24546986
          0,           0,          30,      -5.855912274,      -6.051004128,      -6.203692216,      -6.082577139,      -5.245654119,      -11.22024812
          0,           0,          31,      -5.906225697,      -6.095653017,      -6.255867906,      -6.133291823,      -5.295261036,      -11.20439397
          0,           0,          32,      -5.957442511,      -6.144996092,      -6.305677727,      -6.182857234,      -5.345902466,      -11.19752278
          0,           0,          33,      -6.009419567,      -6.198207045,      -6.353205592,      -6.230770125,       -5.39755503,      -11.19762127
          0,           0,          34,      -6.061878654,      -6.253880153,      -6.399617111,      -6.276985621,      -5.450003243,      -11.20323123
          0,           0,          35,      -6.114404012,      -6.310560122,      -6.446439262,      -6.321983521,      -5.502841107,      -11.21305138
          0,           0,          36,      -6.166521016,      -6.366990409,      -6.494662568,      -6.366671128,      -5.555525116,      -11.22651948
          0,           0,          37,      -6.217850811,      -6.422170211,      -6.544105966,      -6.411995793,      -5.607515814,      -11.24406102
          0,           0,          38,      -6.268342127,      -6.475389775,      -6.593495818,       -6.45859341,      -5.658546842,      -11.26583088
          0,           0,          39,      -6.318317153,      -6.526180872,      -6.641131967,      -6.506446337,      -5.708751738,      -11.29192413
          0,           0,          40,      -6.368384228,      -6.574266643,      -6.685762597,      -6.554917806,      -5.758660475,       -11.3217398
          0,           0,          41,      -6.419207492,      -6.619495549,      -6.727506827,      -6.603152967,      -5.809001225,      -11.35389734
          0,           0,          42,      -6.471210241,      -6.661802783,      -6.767910594,       -6.65047141,      -5.860378497,       -11.3865069
          0,           0,          43,      -6.524366267,      -6.701178227,       -6.80928981,      -6.696786029,      -5.912996514,      -11.41732044
          0,           0,          44,      -6.578171451,      -6.737657219,      -6.853844702,      -6.742623128,      -5.966548495,      -11.44457848
          0,           0,          45,      -6.631818347,      -6.771319724,      -6.902954607,      -6.788876264,      -6.020328636,      -11.46722742
          0,           0,          46,      -6.684533759,      -6.802213845,      -6.956757471,      -6.836316928,      -6.073545759,      -11.48476285
          0,           0,          47,      -6.735905667,      -6.830268101,      -7.013820704,      -6.885031669,      -6.125685989,       -11.4972724
          0,           0,          48,       -6.78597393,      -6.855134042,      -7.070925588,      -6.934073412,      -6.176686427,      -11.50507126
          0,           0,          49,      -6.835104334,      -6.876132843,      -7.123286823,      -6.981437085,      -6.226885513,      -11.50884752
          0,           0,          50,      -6.883650735,      -6.892407357,      -7.165865647,      -7.024487413,      -6.276706502,      -11.50940839
          0,           0,          51,      -6.931654701,      -6.903151634,       -7.19560334,      -7.060827005,      -6.326318307,      -11.50741831
          0,           0,          52,      -6.978640605,      -6.907921992,        -7.2129134,      -7.089248749,      -6.375367613,      -11.50349045
          0,           0,          53,      -7.023618183,      -6.906865072,      -7.220882644,      -7.110075253,       -6.42291559,      -11.49815508
          0,           0,          54,      -7.065274585,      -6.900739409,      -7.223124548,      -7.124657296,      -6.467584637,      -11.49193623
          0,           0,          55,      -7.102294259,      -6.890749825,      -7.222337124,      -7.134538686,      -6.507868644,      -11.48526943
          0,           0,          56,      -7.133711282,      -6.878256908,      -7.220068225,       -7.14094923,      -6.542530163,      -11.47848788
          0,           0,          57,      -7.159155096,      -6.864521997,      -7.217109258,      -7.144754328,      -6.570927331,      -11.47183254
          0,           0,          58,      -7.178867045,      -6.850551453,      -7.213941165,      -7.146647514,      -6.593103364,      -11.46547265
          0,           0,          59,        -7.1935526,      -6.837064025,      -7.210999068,      -7.147331349,      -6.609673437,       -11.4595697
          0,           0,          60,      -7.204171009,      -6.824518471,      -7.208758881,      -7.147570329,      -6.621611074,      -11.45427477
          0,           0,          61,      -7.211710405,      -6.813175095,      -7.207709413,      -7.148123622,       -6.62999328,       -11.4497034
