"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.863545102,      -13.50071975,      -13.48617664,       -1.81583767,      -9.127896143
          0,           0,           1,      -4.275869356,      -3.506237365,      -3.345397101,      -2.227628211,      -9.419143596
          0,           0,           2,      -4.431632532,      -3.589628057,      -3.454863375,       -2.37924581,      -9.755498126
          0,           0,           3,      -4.420418878,       -3.66992087,      -3.661369139,      -2.369058991,      -10.01320251
          0,           0,           4,      -4.470500134,      -3.738476567,      -3.751828785,      -2.419588386,      -10.17408017
          0,           0,           5,      -4.533614295,      -3.794886011,      -3.761908338,      -2.483008484,      -10.26887736
          0,           0,           6,      -4.582799036,      -3.843189551,      -3.781988396,      -2.533037193,      -10.33971451
          0,           0,           7,      -4.618616276,      -3.886605886,      -3.807473386,      -2.569876714,      -10.41078763
          0,           0,           8,      -4.642573883,      -3.926617552,      -3.826778385,      -2.594613736,      -10.46436394
          0,           0,           9,      -4.655893004,       -3.96282749,      -3.836057154,      -2.608345531,      -10.50475828
          0,           0,          10,      -4.660257971,      -3.993587867,      -3.835653465,      -2.612850757,      -10.53772617
          0,           0,          11,       -4.65746434,      -4.016514439,      -3.827443949,      -2.610081757,      -10.56508118
          0,           0,          12,      -4.649486501,      -4.029249784,      -3.813816836,      -2.602130705,      -10.58802335
          0,           0,          13,      -4.638382242,      -4.030411987,      -3.797235711,      -2.591110441,          -10.6096
          0,           0,          14,      -4.626002945,      -4.020574428,      -3.779881148,      -2.578882103,      -10.63298818
          0,           0,          15,      -4.613751661,      -4.002117324,      -3.763377705,      -2.566835358,      -10.64979431
          0,           0,          16,      -4.602528108,      -3.978228643,      -3.748700559,      -2.555847614,      -10.66326348
          0,           0,          17,      -4.592780915,      -3.951847353,      -3.736233093,       -2.54634407,      -10.67471982
          0,           0,          18,      -4.584604373,      -3.925110111,      -3.725914689,      -2.538398832,      -10.68468266
          0,           0,          19,      -4.577832895,      -3.899299665,      -3.717416703,      -2.531832323,      -10.69343617
          0,           0,          20,      -4.572124505,      -3.875046801,       -3.71030628,      -2.526296478,      -10.70116018
          0,           0,          21,      -4.567042714,      -3.852580621,      -3.704170324,      -2.521356506,      -10.70857297
          0,           0,          22,      -4.562141423,      -3.831922023,      -3.698684173,      -2.516573494,      -10.71661305
          0,           0,          23,      -4.557049425,      -3.812999808,      -3.693626284,      -2.511585018,      -10.72274775
          0,           0,          24,       -4.55153893,      -3.795703408,      -3.688859969,      -2.506170762,      -10.72677712
          0,           0,          25,      -4.545549863,      -3.779899007,      -3.684300839,      -2.500273659,      -10.72937421
          0,           0,          26,      -4.539166677,      -3.765434677,      -3.679890223,       -2.49397561,      -10.73080992
          0,           0,          27,        -4.5325589,      -3.752148388,      -3.675583702,      -2.487438765,      -10.73126598
          0,           0,          28,      -4.525911793,      -3.739881112,      -3.671355042,      -2.480839256,       -10.7309045
          0,           0,          29,      -4.519363417,      -3.728493825,      -3.667201441,       -2.47430595,      -10.72984008
          0,           0,          30,      -4.512969397,      -3.717880928,      -3.663148195,       -2.46788712,      -10.72814941
          0,           0,          31,      -4.506697758,      -3.707973169,      -3.659247079,      -2.461546761,      -10.72601821
          0,           0,          32,      -4.500448643,      -3.698733218,      -3.655567895,      -2.455185516,      -10.72369357
          0,           0,          33,      -4.494087077,      -3.690146431,      -3.652181927,       -2.44867307,        -10.720577
          0,           0,          34,      -4.487481754,      -3.682206824,      -3.649146365,      -2.441886427,      -10.71638159
          0,           0,          35,       -4.48053717,      -3.674905184,      -3.646492146,      -2.434741179,      -10.71134477
          0,           0,          36,      -4.473210624,      -3.668222846,      -3.644215835,      -2.427206608,      -10.70563841
          0,           0,          37,      -4.465515064,      -3.662130628,      -3.642278386,      -2.419306807,      -10.69941426
          0,           0,          38,       -4.45750838,      -3.656589997,      -3.640610372,      -2.411108615,       -10.6928138
          0,           0,          39,      -4.449275119,      -3.651556299,      -3.639120922,      -2.402702361,      -10.68595775
          0,           0,          40,      -4.440909275,      -3.646980545,      -3.637708563,      -2.394184651,       -10.6789511
          0,           0,          41,      -4.432500985,      -3.642810404,      -3.636270128,      -2.385645499,      -10.67187576
          0,           0,          42,      -4.424129426,      -3.638986423,      -3.634708871,      -2.377162019,      -10.66480338
          0,           0,          43,      -4.415860173,      -3.635437555,      -3.632939816,       -2.36879661,      -10.65778363
          0,           0,          44,      -4.407745507,        -3.6320774,      -3.630892655,      -2.360598006,      -10.65083552
          0,           0,          45,      -4.399825577,      -3.628803365,      -3.628513262,       -2.35260298,      -10.64390725
          0,           0,          46,      -4.392129174,      -3.625498365,      -3.625765386,       -2.34483735,      -10.63692119
          0,           0,          47,      -4.384673963,      -3.622037913,      -3.622632164,        -2.3373163,      -10.62984937
          0,           0,          48,      -4.377466666,       -3.61830117,        -3.6191175,      -2.330044538,      -10.62267878
          0,           0,          49,      -4.370504021,      -3.614183659,       -3.61524597,        -2.3230172,      -10.61539213
          0,           0,          50,      -4.363774732,      -3.609609641,      -3.611061269,      -2.316221766,      -10.60796479
          0,           0,          51,      -4.357261985,      -3.604541664,      -3.606622377,      -2.309640554,      -10.60037407
          0,           0,          52,      -4.350946183,      -3.598984911,       -3.60199789,      -2.303253471,      -10.59259482
          0,           0,          53,      -4.344807121,      -3.592985164,      -3.597259176,      -2.297040152,      -10.58461563
          0,           0,          54,        -4.3388253,      -3.586621505,      -3.592473298,      -2.290981261,       -10.5764333
          0,           0,          55,       -4.33298218,      -3.579994995,      -3.587697035,      -2.285058679,      -10.56805713
          0,           0,          56,      -4.327259799,      -3.573215689,      -3.582972737,       -2.27925504,      -10.55949952
          0,           0,          57,      -4.321640176,      -3.566390425,      -3.578326346,      -2.273553078,      -10.55078473
          0,           0,          58,      -4.316104935,      -3.559612933,      -3.573767614,      -2.267935171,      -10.54193948
          0,           0,          59,      -4.310635629,      -3.552957124,      -3.569292098,      -2.262383632,      -10.53298234
          0,           0,          60,      -4.305214704,      -3.546473853,      -3.564884289,       -2.25688165,      -10.52395269
          0,           0,          61,       -4.29982693,      -3.540190595,      -3.560521041,      -2.251414711,      -10.51486897
          0,           0,          62,       -4.29446097,      -3.534113504,       -3.55617491,       -2.24597217,      -10.50579904
          0,           0,          63,        -4.2891106,      -3.528231024,      -3.551816917,      -2.240548463,      -10.49683284
          0,           0,          64,      -4.283775405,      -3.522518367,      -3.547418719,      -2.235143807,      -10.48802399
          0,           0,          65,      -4.278460653,       -3.51694221,       -3.54295396,       -2.22976407,       -10.4794212
          0,           0,          66,      -4.273176502,      -3.511465181,      -3.538399073,       -2.22441996,      -10.47099689
          0,           0,          67,      -4.267936669,       -3.50604972,       -3.53373368,      -2.219125704,      -10.46276054
          0,           0,          68,      -4.262756775,      -3.500661201,      -3.528940725,      -2.213897371,      -10.45471318
          0,           0,          69,      -4.257652742,      -3.495270123,      -3.524006468,      -2.208751281,      -10.44686116
          0,           0,          70,      -4.252639295,      -3.489853429,      -3.518920402,      -2.203702498,      -10.43919111
          0,           0,          71,      -4.247728861,      -3.484395054,      -3.513675183,      -2.198763735,      -10.43168027
