"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,           9,       -6.53153468,      -3.908933961,      -3.948289139,      -1.069258312,      -2.827189717,      0.9329898399,      0.8207225916,       1.133351928,                 0,                 0,                 0,      0.3340798449,      0.6977590519,       1.212932179,                 0,       1.380919619,    0.002480959608,      -1.051329044,     -0.9712965125,     -0.3715345221,      -1.065705773,      -2.375747011,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,           9,      -6.588853791,      -4.050735297,      -4.112567866,        -1.1284932,      -3.189249906,      0.9329898399,      0.4489969123,      0.9476672275,                 0,                 0,                 0,      0.1916910722,      0.3474790612,      0.9894087646,                 0,       2.110631948,    0.003559239486,     -0.1626784426,     -0.1996497382,     -0.2770307586,     -0.1631879259,      -0.633094514,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,           9,      -6.684079567,      -4.198798331,      -4.256510176,      -1.216408823,      -3.307647127,      0.9329898399,      0.3134666983,      0.8337263642,                 0,                 0,                 0,     0.07715782402,      0.2246013593,      0.8619253162,                 0,       2.659696768,    0.005945798655,     -0.3234747403,     -0.3725085787,       -0.42237856,      -0.313364223,     -0.5315110915,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,           9,      -6.737166988,      -4.246388139,       -4.27668375,      -1.270969994,      -3.336225187,      0.9329898399,      0.2557302393,      0.7141624865,                 0,                 0,                 0,      0.0297387016,       0.179679015,      0.7369813186,                 0,       2.792639965,    0.007040146257,     -0.4384299571,     -0.4680742322,     -0.4755743134,     -0.4305350157,     -0.5575492656,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,           9,      -6.856073535,      -4.290895609,      -4.314859108,      -1.387327094,      -3.365569069,      0.9329898399,      0.2442314916,       0.661595074,                 0,                 0,                 0,     0.03069525259,      0.1737380496,      0.6834999295,                 0,       2.708885204,    0.009437399196,     -0.6065126081,     -0.5380962133,     -0.4861908327,     -0.5904578094,     -0.6610380258,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,           9,      -6.963953597,      -4.364221837,      -4.369866367,      -1.491406382,      -3.429486454,      0.9329898399,      0.2577288804,      0.6949079187,                 0,                 0,                 0,     0.06529410259,      0.1836793578,      0.7180411443,                 0,       2.696274929,     0.01055124341,     -0.7200508303,     -0.5979692132,     -0.5222624023,     -0.6955417378,     -0.8028745267,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,           9,      -7.068687275,      -4.387541114,      -4.477007216,      -1.593594784,      -3.508691583,      0.9329898399,      0.2888826062,      0.8430231034,                 0,                 0,                 0,     0.06573965784,      0.1991801675,      0.8686013895,                 0,       2.918220362,     0.01297118883,     -0.8316727436,     -0.6153238822,     -0.6740439154,     -0.8012565975,     -0.9745877325,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,           9,      -7.025316845,      -4.334957205,      -4.475513258,      -1.548101864,      -3.535968406,      0.9329898399,      0.3100810828,      0.9893745313,                 0,                 0,                 0,     0.07178654502,      0.2049646269,       1.016366933,                 0,       3.190696196,     0.01411959612,     -0.8132634483,     -0.5404857248,      -0.676248191,      -0.776153821,      -1.073755794,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,           9,      -7.116485169,      -4.379474914,       -4.47903811,      -1.649853139,      -3.578306272,      0.9329898399,      0.3401701101,       1.188716452,                 0,                 0,                 0,      0.1199152054,      0.2140519187,       1.217761997,                 0,       3.494476488,     0.01657153701,     -0.8494095463,     -0.5544054094,     -0.6241537208,     -0.8248590862,      -1.154916055,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,           9,      -7.109399256,      -4.324990817,      -4.511050643,      -1.632227716,      -3.651065357,      0.9329898399,      0.3365935252,       1.199387121,                 0,                 0,                 0,     0.09124018098,      0.2093795381,       1.228000357,                 0,       3.563310139,     0.01775488001,     -0.7284195469,     -0.4441215203,     -0.5976442918,     -0.7027984949,      -1.264743686,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
