Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.80186,0,2.31888,-0,6.07845e-08,0,0,0,0,0,0,0.963043,1.07667,0.0158912,1.44462,0.92755,-0.183084,-0.000244536,0.000356211,2.88038e-05,0.000433029,1.13508,0,0,0,0,5.36835
1,0.810226,0,2.34322,-0,6.07875e-08,0,0,0,0,0,0,0.977844,1.07667,0.0145919,1.45451,0.937289,-0.163606,-0.000215439,0.00038158,2.8171e-05,0.000439103,1.13515,0,0,0,0,5.42362
2,0.8178,0,2.36524,-0,6.07896e-08,0,0,0,0,0,0,0.991997,1.07667,0.0132988,1.46405,0.946095,-0.145995,-0.000189875,0.000406535,2.76762e-05,0.000449544,1.1352,0,0,0,0,5.5023
3,0.824664,0,2.38515,-0,6.07907e-08,0,0,0,0,0,0,1.00545,1.07667,0.0120195,1.47319,0.954059,-0.130067,-0.000167491,0.000431122,2.74252e-05,0.000463327,1.13523,0,0,0,0,5.59252
4,0.830783,0,2.40285,-0,6.07908e-08,0,0,0,0,0,0,1.01817,1.07667,0.0107583,1.48189,0.96114,-0.115905,-0.000148199,0.000455064,2.74753e-05,0.000479376,1.13523,0,0,0,0,5.69362
5,0.835415,0,2.41621,-0,6.07901e-08,0,0,0,0,0,0,1.02812,1.07667,0.00972689,1.48874,0.966484,-0.105217,-0.000134525,0.000474011,2.77456e-05,0.000493511,1.13522,0,0,0,0,5.77788
6,0.822192,0,2.36413,-0,6.05235e-08,0,0,0,0,0,0,0.73411,1.07667,-0.0223851,1.30332,0.945651,-0.146883,0.00142116,8.02104e-05,-5.87028e-05,0.00142463,1.12861,0,0,0,0,9.76834
7,0.835307,0,2.40269,-0,6.05397e-08,0,0,0,0,0,0,0.720065,1.07667,-0.0217104,1.29545,0.961077,-0.11603,0.00141611,7.73796e-05,-7.16341e-05,0.00142003,1.12901,0,0,0,0,9.79188
8,0.849235,0,2.44363,-0,6.05561e-08,0,0,0,0,0,0,0.706807,1.07667,-0.020944,1.28811,0.977452,-0.0832814,0.00141303,7.49731e-05,-8.56082e-05,0.00141761,1.12941,0,0,0,0,9.81467
9,0.864019,0,2.48707,-0,6.05725e-08,0,0,0,0,0,0,0.6944,1.07667,-0.0200935,1.28133,0.994827,-0.0485312,0.00140992,7.38407e-05,-0.000101024,0.00141547,1.12982,0,0,0,0,9.84395
10,0.879783,0,2.53338,-0,6.05894e-08,0,0,0,0,0,0,0.682895,1.07667,-0.0191662,1.27512,1.01335,-0.01148,0.0014067,7.50925e-05,-0.000118114,0.00141365,1.13024,0,0,0,0,9.86599
11,0.896579,0,2.58275,-0,6.06072e-08,0,0,0,0,0,0,0.672334,1.07667,-0.0181721,1.26948,1.0331,0.0280172,0.00140127,7.97027e-05,-0.00013661,0.00141017,1.13068,0,0,0,0,9.88436
12,0.914203,0,2.63458,-0,6.06256e-08,0,0,0,0,0,0,0.662743,1.07667,-0.017126,1.26441,1.05383,0.0694804,0.00139509,8.84774e-05,-0.000156208,0.0014066,1.13114,0,0,0,0,9.89098
13,0.932505,0,2.68843,-0,6.06445e-08,0,0,0,0,0,0,0.654133,1.07667,-0.0160484,1.25991,1.07537,0.112563,0.00138508,0.000101333,-0.00017596,0.00139989,1.1316,0,0,0,0,9.88102
