Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.41338,309398,0,-168.337,32.1446,171.379,0.21736,0.278785,-106.269,10.874,106.824,0.0117867,0.122784,0.643,0.654724,122143,0.381622,301.06,0.19712,-75.192,7.70881,75.5864
1,1.35929,269151,0,-168.337,32.4064,171.428,0.525674,-7.91335,-227.683,25.1655,229.206,0.0117859,0.123784,0.643,0.654912,99926.8,-0.0256299,256.093,-5.8207,-167.502,18.5141,168.623
2,1.34911,288348,0,-168.337,31.8274,171.319,0.179574,0.405154,-82.0339,14.4902,83.3048,0.0117863,0.121572,0.643,0.654498,114254,0.237004,295.03,0.299961,-60.9076,10.7656,61.8524
3,1.10457,222285,0,-168.337,-8.96135,168.575,0.151588,-45.7863,32.2047,1.90015,56.0102,-0.0157184,-0.0342298,0.643,0.644102,88345.1,-0.237935,278.624,-41.4528,29.1575,1.72134,50.7095
4,1.10542,224140,0,-168.337,-9.44994,168.602,0.16948,-59.3386,20.3398,0.93211,62.7347,-0.0152565,-0.0360961,0.643,0.644193,88939.8,-0.227033,280.282,-53.6776,18.3806,0.844051,56.7437
5,1.10277,221272,0,-168.337,-8.36834,168.545,0.136639,-32.9642,38.0066,2.16151,50.3569,-0.0161217,-0.0319647,0.643,0.643996,88048.1,-0.243379,278.137,-29.8946,34.4706,1.96273,45.6701
6,1.10597,221848,0,-168.337,-7.65661,168.511,0.120784,-21.4617,39.1052,1.84179,44.6454,-0.0164508,-0.0292461,0.643,0.643875,88377.8,-0.237336,278.374,-19.4052,35.3591,1.66476,40.3683
7,1.10416,220967,0,-168.337,-6.81097,168.475,0.1226,-11.6108,43.5936,2.9344,45.2087,-0.016686,-0.026016,0.643,0.643742,88015.8,-0.24397,277.69,-10.5153,39.4871,2.656,40.9494
8,1.11767,224225,0,-168.337,-5.81623,168.437,0.111561,-2.61676,41.4776,3.5555,41.7119,-0.0168037,-0.0222164,0.643,0.643603,89378.4,-0.218993,278.576,-2.34146,37.1137,3.18377,37.3236
9,1.20188,248698,0,-168.337,21.2789,169.677,0.122759,48.2617,-7.60911,11.1698,50.1184,0.000446232,0.0812793,0.643,0.648117,99061.2,-0.0414968,287.127,40.155,-6.33096,9.29342,41.6998
10,1.19542,246908,0,-168.337,19.3618,169.447,0.120737,47.5657,-4.04692,10.981,48.9842,-0.0013426,0.0739568,0.643,0.647241,98361.7,-0.05432,286.639,39.7905,-3.38574,9.18609,40.9772
11,1.23523,262554,0,-168.337,-9.77985,168.621,0.261389,90.6126,-62.8368,1.38328,110.277,-0.00628971,-0.0373563,0.643,0.644115,103049,0.0316011,290.62,73.3604,-50.8466,1.12797,89.2658
12,1.2256,258006,0,-168.337,-9.34351,168.596,0.23052,86.2602,-42.6401,1.81907,96.2409,-0.00533126,-0.0356896,0.643,0.644012,101690,0.0066853,289.02,70.4068,-34.7805,1.47717,78.5428
13,1.21937,253006,0,-168.337,24.3051,170.083,0.0457144,5.21949,-14.9278,10.523,18.9952,0.0113802,0.0928386,0.643,0.649767,101143,-0.00333144,288.955,4.28053,-12.2422,8.62997,15.5779
14,1.22856,255054,0,-168.337,25.734,170.293,0.0477275,4.40077,-16.2444,10.7739,19.9831,0.0115116,0.0982966,0.643,0.650572,101957,0.0115774,289.102,3.5821,-13.2222,8.76958,16.2654
15,1.22072,252670,0,-168.337,22.6904,169.859,0.0381198,6.296,-10.078,10.4721,15.839,0.011203,0.0866709,0.643,0.648912,101027,-0.00546165,288.304,5.15756,-8.25579,8.57856,12.975
16,1.2137,250947,0,-168.337,20.8917,169.628,0.0361188,7.38009,-8.02284,10.1774,14.9135,0.0109701,0.0798004,0.643,0.648026,100342,-0.0180145,288.007,6.08068,-6.61022,8.38546,12.2876
17,1.31506,277124,0,-168.337,31.0371,171.174,0.162128,47.4852,-53.9137,12.0616,72.8492,0.0102943,0.118553,0.643,0.653919,110039,0.159741,291.496,36.1125,-40.9898,9.1723,55.3932
18,1.22436,260301,0,-168.337,30.5042,171.078,0.166901,42.6959,-54.3052,12.6103,70.2212,0.00972195,0.116517,0.643,0.653544,103314,0.0364612,293.955,34.8725,-44.3593,10.3,57.3579
19,1.19806,260573,0,-168.337,31.4812,171.255,0.245188,30.0874,-96.5546,9.82715,101.61,0.0107747,0.120249,0.643,0.654236,102501,0.0215578,298.053,25.1094,-80.63,8.20859,84.8473
20,1.34655,289994,0,-168.337,31.8499,171.324,0.230557,36.4937,-99.8469,12.0054,106.983,0.0111759,0.121658,0.643,0.654503,114296,0.23778,295.69,27.097,-74.1559,8.91204,79.4529
21,1.1562,235344,0,-168.337,5.94134,168.442,0.111636,37.3181,21.1435,7.23343,43.4972,-0.012202,0.0226942,0.643,0.643516,93810.4,-0.137751,282.65,32.2775,18.2869,6.25713,37.6218
