"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.831253576,      -12.13982363,      -12.13104277,      -12.13828666,       2.332281853
          0,           0,           1,      -2.769469523,     -0.3579539238,     -0.4180408102,     -0.4342470853,       2.612022416
          0,           0,           2,      -2.692306876,     -0.2168852948,     -0.2607336913,     -0.2794438491,       2.747754279
          0,           0,           3,      -2.688857188,     -0.1806908539,     -0.2371393009,      -0.247056569,       2.761519023
          0,           0,           4,      -2.760373411,     -0.1980536581,     -0.2900287976,     -0.3023449849,       2.691261596
          0,           0,           5,      -2.862583361,      -0.232981824,     -0.3677538685,     -0.3722793315,       2.594488557
          0,           0,           6,      -2.939264586,     -0.2779072494,     -0.4290081592,     -0.4311471996,       2.516030974
          0,           0,           7,      -2.994049351,     -0.3293211592,     -0.4787683501,     -0.4809655863,       2.458042019
          0,           0,           8,      -3.045843466,     -0.3826144066,     -0.5263795606,     -0.5254380206,       2.403305924
          0,           0,           9,      -3.103804571,     -0.4335609025,     -0.5720725329,     -0.5677788829,       2.340398849
          0,           0,          10,       -3.17410766,     -0.4803591878,     -0.6162848577,     -0.6100346115,       2.260298032
          0,           0,          11,      -3.246485412,     -0.5232847237,     -0.6555797384,     -0.6472851101,        2.17012387
          0,           0,          12,      -3.281814333,     -0.5627895842,      -0.680360945,     -0.6686859459,       2.115982755
          0,           0,          13,      -3.247454607,     -0.5984792425,     -0.6817300825,     -0.6669969449,        2.15568223
          0,           0,          14,      -3.181252429,     -0.6296718975,     -0.6658182771,     -0.6500319019,       2.241162906
          0,           0,          15,      -3.126613103,      -0.656361412,     -0.6478762381,       -0.63240055,       2.312081139
          0,           0,          16,      -3.099430028,     -0.6803631174,     -0.6405044528,     -0.6254121639,       2.350971535
          0,           0,          17,      -3.102789642,     -0.7047202944,     -0.6500191849,     -0.6345274738,       2.356324078
          0,           0,          18,      -3.137283707,     -0.7322173515,     -0.6782689803,     -0.6613795003,       2.328482831
          0,           0,          19,      -3.202662068,      -0.763821553,     -0.7232159699,     -0.7041775589,       2.267602356
          0,           0,          20,      -3.295112241,     -0.7980241162,     -0.7779369437,      -0.756711591,       2.175682179
          0,           0,          21,      -3.400350608,     -0.8312825316,      -0.830595743,       -0.80850428,       2.062358981
          0,           0,          22,      -3.485642374,     -0.8599098401,     -0.8694550084,     -0.8488582796,       1.957446394
          0,           0,          23,      -3.524545003,     -0.8824544813,     -0.8925395839,     -0.8749639162,       1.901081293
          0,           0,          24,      -3.535392911,     -0.9005892784,     -0.9075715439,      -0.892665909,       1.888387348
          0,           0,          25,      -3.551651938,     -0.9174827071,     -0.9231769326,     -0.9095157885,        1.87867127
          0,           0,          26,      -3.587253508,     -0.9353580608,     -0.9423882013,     -0.9287261543,        1.84986845
          0,           0,          27,       -3.63752645,     -0.9545645536,      -0.962749726,     -0.9485479049,        1.80359928
          0,           0,          28,      -3.685177661,     -0.9738681362,     -0.9796855491,     -0.9652488072,       1.756987678
          0,           0,          29,      -3.711175541,     -0.9912830383,     -0.9903424055,     -0.9763624189,       1.731965893
          0,           0,          30,      -3.714153334,      -1.005303082,     -0.9954093477,     -0.9824050568,       1.733190147
          0,           0,          31,      -3.709940086,      -1.015555666,     -0.9977835895,     -0.9858851711,       1.744357756
          0,           0,          32,      -3.711603314,      -1.022603606,     -0.9997410363,     -0.9888719028,       1.750289753
          0,           0,          33,        -3.7211515,       -1.02738014,      -1.001628536,     -0.9916865875,       1.747444314
          0,           0,          34,      -3.732495671,      -1.030718636,      -1.002463084,     -0.9934266147,       1.740799304
          0,           0,          35,      -3.739745583,      -1.033430227,      -1.001810337,     -0.9937237613,       1.735815141
