"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,     -0.5385580409,     -0.5385580411,      -5.249604791
          0,           0,           1,     -0.5372010965,    -0.01727074582,     0.08472808201
          0,           0,           2,     -0.5276648274,       2.665694369,        2.75754981
          0,           0,           3,     -0.5276662988,       2.648893089,       2.740751607
          0,           0,           4,     -0.5276663288,       2.648494295,       2.740352904
          0,           0,           5,     -0.5276663267,       2.648534706,       2.740393312
          0,           0,           6,     -0.5276663312,       2.648469853,       2.740328472
          0,           0,           7,     -0.5276663251,       2.648566163,       2.740424765
          0,           0,           8,     -0.5276663294,       2.648503445,        2.74036206
          0,           0,           9,     -0.5276663227,       2.648601855,       2.740460451
          0,           0,          10,     -0.5276663256,       2.648560995,         2.7404196
          0,           0,          11,     -0.5276663239,       2.648591588,       2.740450187
          0,           0,          12,     -0.5276663254,       2.648573069,       2.740431672
          0,           0,          13,      -0.527666325,       2.648575942,       2.740434545
          0,           0,          14,      -0.527666327,       2.648553742,       2.740412349
          0,           0,          15,     -0.5276663238,       2.648605291,       2.740463889
          0,           0,          16,     -0.5276663224,       2.648624477,       2.740483071
          0,           0,          17,     -0.5276663286,       2.648539472,       2.740398082
          0,           0,          18,     -0.5276663245,       2.648597977,       2.740456577
          0,           0,          19,     -0.5276663239,       2.648596336,       2.740454936
          0,           0,          20,     -0.5276663286,       2.648534267,       2.740392879
          0,           0,          21,     -0.5276663251,       2.648583132,       2.740441735
          0,           0,          22,     -0.5276663264,       2.648564468,       2.740423074
          0,           0,          23,     -0.5276663235,       2.648609523,       2.740468121
          0,           0,          24,     -0.5276663218,       2.648638772,       2.740497364
          0,           0,          25,     -0.5276663253,       2.648592203,       2.740450804
          0,           0,          26,     -0.5276663224,       2.648634736,       2.740493329
          0,           0,          27,      -0.527666325,       2.648597607,       2.740456207
          0,           0,          28,     -0.5276663235,       2.648620269,       2.740478865
          0,           0,          29,     -0.5276663201,       2.648671525,       2.740530111
          0,           0,          30,     -0.5276663248,       2.648607457,       2.740466056
          0,           0,          31,     -0.5276663207,       2.648667459,       2.740526046
          0,           0,          32,      -0.527666324,        2.64861617,       2.740474767
          0,           0,          33,      -0.527666327,       2.648576875,       2.740435479
          0,           0,          34,     -0.5276663226,       2.648639102,       2.740497695
          0,           0,          35,     -0.5276663271,       2.648577473,       2.740436078
          0,           0,          36,     -0.5276663207,       2.648666801,       2.740525388
          0,           0,          37,     -0.5276663184,       2.648709446,       2.740568025
          0,           0,          38,     -0.5276663242,       2.648626467,       2.740485063
          0,           0,          39,     -0.5276663206,       2.648677339,       2.740535925
          0,           0,          40,     -0.5276663203,       2.648684464,       2.740543048
          0,           0,          41,     -0.5276663188,        2.64870362,       2.740562201
          0,           0,          42,     -0.5276663188,        2.64870991,        2.74056849
          0,           0,          43,     -0.5276663198,        2.64869575,       2.740554333
          0,           0,          44,     -0.5276663188,       2.648707326,       2.740565906
          0,           0,          45,     -0.5276663215,        2.64866601,       2.740524598
          0,           0,          46,     -0.5276663173,       2.648725723,         2.7405843
          0,           0,          47,     -0.5276663214,       2.648668318,       2.740526906
          0,           0,          48,     -0.5276663188,         2.6487068,        2.74056538
          0,           0,          49,     -0.5276663233,       2.648644251,       2.740502844
          0,           0,          50,     -0.5276663217,       2.648668864,       2.740527452
          0,           0,          51,     -0.5276663237,       2.648643861,       2.740502454
          0,           0,          52,     -0.5276663186,       2.648716081,        2.74057466
          0,           0,          53,     -0.5276663133,       2.648791209,       2.740649773
          0,           0,          54,     -0.5276663177,       2.648734413,       2.740592988
          0,           0,          55,      -0.527666317,       2.648743994,       2.740602568
          0,           0,          56,     -0.5276663223,       2.648671142,       2.740529729
          0,           0,          57,     -0.5276663173,       2.648740537,       2.740599111
          0,           0,          58,     -0.5276663163,       2.648757733,       2.740616304
          0,           0,          59,     -0.5276663211,       2.648689065,       2.740547649
          0,           0,          60,     -0.5276663198,       2.648714587,       2.740573166
          0,           0,          61,     -0.5276663175,       2.648746953,       2.740605526
          0,           0,          62,      -0.527666316,       2.648768393,       2.740626962
          0,           0,          63,      -0.527666315,       2.648787206,       2.740645771
          0,           0,          64,     -0.5276663118,       2.648837379,       2.740695935
          0,           0,          65,      -0.527666313,       2.648818657,       2.740677217
          0,           0,          66,     -0.5276663179,       2.648751016,       2.740609589
          0,           0,          67,      -0.527666313,       2.648821823,       2.740680382
          0,           0,          68,     -0.5276663138,       2.648815816,       2.740674376
          0,           0,          69,     -0.5276663134,       2.648822489,       2.740681049
          0,           0,          70,     -0.5276663116,       2.648850028,       2.740708581
          0,           0,          71,     -0.5276663129,       2.648836432,       2.740694988
          0,           0,          72,     -0.5276663127,        2.64884148,       2.740700035
          0,           0,          73,     -0.5276663104,        2.64887177,        2.74073032
          0,           0,          74,     -0.5276663098,       2.648879546,       2.740738094
          0,           0,          75,     -0.5276663088,       2.648893985,       2.740752529
          0,           0,          76,      -0.527666306,       2.648934697,       2.740793234
          0,           0,          77,     -0.5276663129,       2.648840031,       2.740698586
          0,           0,          78,     -0.5276663068,       2.648926912,       2.740785451
          0,           0,          79,     -0.5276663128,       2.648842669,       2.740701224
          0,           0,          80,     -0.5276663125,       2.648843587,       2.740702142
          0,           0,          81,     -0.5276663131,       2.648831645,       2.740690202
          0,           0,          82,     -0.5276663134,       2.648827829,       2.740686387
          0,           0,          83,      -0.527666312,       2.648850147,         2.7407087
          0,           0,          84,      -0.527666307,       2.648921722,       2.740780262
          0,           0,          85,     -0.5276663123,       2.648846531,       2.740705085
          0,           0,          86,     -0.5276663108,       2.648869174,       2.740727724
          0,           0,          87,     -0.5276663132,       2.648835582,       2.740694138
          0,           0,          88,     -0.5276663121,       2.648850151,       2.740708704
          0,           0,          89,     -0.5276663086,       2.648901073,       2.740759617
          0,           0,          90,     -0.5276663061,       2.648945352,       2.740803887
          0,           0,          91,     -0.5276663078,       2.648920632,       2.740779172
          0,           0,          92,     -0.5276663019,        2.64900192,       2.740860445
          0,           0,          93,     -0.5276663097,       2.648892876,       2.740751422
          0,           0,          94,     -0.5276663068,       2.648933655,       2.740792192
          0,           0,          95,     -0.5276663053,       2.648955431,       2.740813965
          0,           0,          96,      -0.527666309,       2.648900494,       2.740759038
          0,           0,          97,     -0.5276663051,       2.648955999,       2.740814533
          0,           0,          98,     -0.5276663069,       2.648931029,       2.740789567
          0,           0,          99,     -0.5276663086,       2.648904499,       2.740763042
          0,           0,         100,     -0.5276663095,       2.648889082,       2.740747628
          0,           0,         101,     -0.5276663081,       2.648911778,        2.74077032
          0,           0,         102,      -0.527666308,       2.648913247,       2.740771789
          0,           0,         103,     -0.5276663117,       2.648864713,       2.740723264
          0,           0,         104,     -0.5276663056,       2.648958191,       2.740816724
          0,           0,         105,     -0.5276663058,       2.648960659,       2.740819192
          0,           0,         106,     -0.5276663057,        2.64895916,       2.740817693
          0,           0,         107,     -0.5276663082,       2.648925487,       2.740784026
          0,           0,         108,     -0.5276663072,       2.648935802,        2.74079434
          0,           0,         109,     -0.5276663079,       2.648923934,       2.740782473
          0,           0,         110,      -0.527666307,       2.648937981,       2.740796518
          0,           0,         111,     -0.5276663053,       2.648962705,       2.740821237
          0,           0,         112,     -0.5276663121,       2.648865326,       2.740723877
          0,           0,         113,     -0.5276663063,       2.648945777,       2.740804313
          0,           0,         114,     -0.5276663059,        2.64895115,       2.740809685
          0,           0,         115,     -0.5276663089,       2.648904208,       2.740762752
          0,           0,         116,     -0.5276663088,       2.648912039,       2.740770581
          0,           0,         117,     -0.5276663102,       2.648888765,       2.740747311
          0,           0,         118,     -0.5276663063,       2.648947056,       2.740805591
          0,           0,         119,     -0.5276663112,       2.648880701,       2.740739249
          0,           0,         120,     -0.5276663093,       2.648907449,       2.740765992
          0,           0,         121,      -0.527666309,       2.648912021,       2.740770563
          0,           0,         122,     -0.5276663091,        2.64890575,       2.740764293
          0,           0,         123,     -0.5276663051,       2.648953599,       2.740812133
          0,           0,         124,     -0.5276663084,       2.648907913,       2.740766456
          0,           0,         125,     -0.5276663109,        2.64887204,       2.740730589
          0,           0,         126,     -0.5276663106,       2.648878795,       2.740737344
          0,           0,         127,     -0.5276663058,       2.648950036,       2.740808571
          0,           0,         128,     -0.5276663094,       2.648897571,       2.740756116
          0,           0,         129,     -0.5276663106,       2.648882378,       2.740740926
          0,           0,         130,      -0.527666311,       2.648867926,       2.740726476
          0,           0,         131,     -0.5276663106,       2.648872626,       2.740731175
          0,           0,         132,     -0.5276663128,       2.648840501,       2.740699057
          0,           0,         133,     -0.5276663109,        2.64886611,        2.74072466
          0,           0,         134,     -0.5276663086,       2.648896991,       2.740755536
          0,           0,         135,     -0.5276663116,       2.648855279,       2.740713831
          0,           0,         136,      -0.527666313,       2.648838777,       2.740697333
          0,           0,         137,     -0.5276663118,       2.648854163,       2.740712716
          0,           0,         138,     -0.5276663113,       2.648862389,       2.740720941
          0,           0,         139,     -0.5276663139,        2.64882575,       2.740684308
          0,           0,         140,     -0.5276663125,       2.648848168,       2.740706722
          0,           0,         141,     -0.5276663105,       2.648879359,       2.740737907
          0,           0,         142,     -0.5276663125,       2.648851317,        2.74070987
          0,           0,         143,     -0.5276663139,       2.648830795,       2.740689353
          0,           0,         144,     -0.5276663093,       2.648893979,       2.740752524
          0,           0,         145,     -0.5276663133,        2.64883763,       2.740696186
          0,           0,         146,     -0.5276663117,       2.648854213,       2.740712766
          0,           0,         147,       -0.52766631,       2.648880077,       2.740738625
          0,           0,         148,     -0.5276663153,       2.648806251,       2.740664813
          0,           0,         149,     -0.5276663151,       2.648807167,       2.740665729
          0,           0,         150,       -0.52766631,       2.648880526,       2.740739074
          0,           0,         151,     -0.5276663134,       2.648833501,       2.740692058
          0,           0,         152,     -0.5276663106,        2.64887289,       2.740731439
          0,           0,         153,     -0.5276663054,       2.648958563,       2.740817097
          0,           0,         154,     -0.5276663037,       2.648985494,       2.740844022
          0,           0,         155,      -0.527666308,       2.648926158,       2.740784698
          0,           0,         156,     -0.5276663085,       2.648920083,       2.740778623
          0,           0,         157,     -0.5276663097,        2.64890183,       2.740760374
          0,           0,         158,      -0.527666307,       2.648937301,       2.740795837
          0,           0,         159,     -0.5276663062,       2.648949821,       2.740808355
          0,           0,         160,     -0.5276663067,       2.648944208,       2.740802743
          0,           0,         161,     -0.5276663065,       2.648945509,       2.740804044
          0,           0,         162,      -0.527666306,       2.648952892,       2.740811426
          0,           0,         163,      -0.527666305,       2.648964632,       2.740823164
          0,           0,         164,     -0.5276663065,       2.648948907,       2.740807442
          0,           0,         165,     -0.5276663056,       2.648961595,       2.740820127
          0,           0,         166,     -0.5276663041,       2.648986405,       2.740844933
          0,           0,         167,     -0.5276663088,       2.648917942,       2.740776483
          0,           0,         168,     -0.5276663077,       2.648930021,        2.74078856
          0,           0,         169,     -0.5276663031,       2.648992596,       2.740851123
          0,           0,         170,     -0.5276663102,       2.648894561,       2.740753107
          0,           0,         171,     -0.5276663034,        2.64899172,       2.740850247
          0,           0,         172,     -0.5276663048,       2.648973949,       2.740832479
          0,           0,         173,     -0.5276663046,       2.648974311,       2.740832841
          0,           0,         174,     -0.5276663068,       2.648942653,       2.740801189
          0,           0,         175,     -0.5276663055,       2.648965614,       2.740824146
          0,           0,         176,      -0.527666306,         2.6489621,       2.740820632
          0,           0,         177,     -0.5276663043,       2.648986597,       2.740845125
          0,           0,         178,     -0.5276663011,        2.64903095,       2.740889469
          0,           0,         179,     -0.5276663032,       2.649001066,       2.740859591
          0,           0,         180,     -0.5276663041,        2.64899241,       2.740850937
          0,           0,         181,      -0.527666301,       2.649032276,       2.740890795
          0,           0,         182,     -0.5276663046,       2.648980775,       2.740839304
          0,           0,         183,     -0.5276663062,       2.648960145,       2.740818678
          0,           0,         184,     -0.5276663044,       2.648987302,        2.74084583
          0,           0,         185,     -0.5276663055,       2.648969819,        2.74082835
          0,           0,         186,     -0.5276663035,        2.64899456,       2.740853086
          0,           0,         187,     -0.5276663044,       2.648979769,       2.740838298
          0,           0,         188,     -0.5276663044,       2.648979734,       2.740838264
          0,           0,         189,     -0.5276663066,       2.648949971,       2.740808506
          0,           0,         190,     -0.5276663054,       2.648962382,       2.740820914
          0,           0,         191,     -0.5276663067,       2.648943772,       2.740802307
          0,           0,         192,     -0.5276663092,       2.648908264,       2.740766807
          0,           0,         193,      -0.527666307,       2.648935454,       2.740793991
          0,           0,         194,      -0.527666307,       2.648937231,       2.740795768
          0,           0,         195,     -0.5276663037,       2.648977921,        2.74083645
          0,           0,         196,     -0.5276663094,       2.648897007,       2.740755551
          0,           0,         197,     -0.5276663065,       2.648937267,       2.740795803
          0,           0,         198,     -0.5276663105,       2.648882682,       2.740741229
          0,           0,         199,     -0.5276663105,       2.648882047,       2.740740594
          0,           0,         200,      -0.527666308,       2.648917466,       2.740776007
          0,           0,         201,     -0.5276663058,       2.648950306,       2.740808841
