"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.164141138,      -13.49560657,      -13.56991092,      -2.116433707,      -9.128089902
          0,           0,           1,      -4.579334891,      -3.510619866,      -3.727983564,      -2.530183839,       -9.42250154
          0,           0,           2,      -4.733349322,       -3.58515503,      -3.827241401,      -2.680325485,       -9.76147417
          0,           0,           3,      -4.731894457,      -3.663013453,      -4.011808838,      -2.678447441,      -10.02695014
          0,           0,           4,      -4.779580161,      -3.731243679,      -4.060253732,       -2.72708805,      -10.17980277
          0,           0,           5,      -4.836187301,      -3.788830696,      -4.055660718,      -2.784837926,      -10.27728243
          0,           0,           6,      -4.878251867,      -3.839073358,      -4.071538638,      -2.828207915,      -10.35034172
          0,           0,           7,      -4.907412981,      -3.884710947,      -4.094744293,      -2.858511484,       -10.4258937
          0,           0,           8,      -4.925220948,      -3.927193512,      -4.110894724,      -2.877074153,      -10.48164935
          0,           0,           9,      -4.932975315,      -3.966529346,      -4.115357889,      -2.885235272,      -10.52518966
          0,           0,          10,      -4.933071818,      -4.001733319,      -4.109707485,      -2.885569481,      -10.56189414
          0,           0,          11,      -4.928195713,      -4.031242945,      -4.097650337,      -2.880935412,      -10.59369154
          0,           0,          12,      -4.920869324,      -4.053426539,        -4.0827238,      -2.873959411,      -10.62185729
          0,           0,          13,      -4.913043985,      -4.067096377,      -4.067538042,      -2.866636047,      -10.64954399
          0,           0,          14,      -4.905845189,      -4.071989548,      -4.053689304,      -2.860090175,      -10.68152857
          0,           0,          15,      -4.899726953,      -4.068969874,      -4.041985377,       -2.85474729,      -10.70631406
          0,           0,          16,      -4.894657986,      -4.059761654,      -4.032642806,      -2.850532571,      -10.72765637
          0,           0,          17,      -4.890306369,      -4.046409188,      -4.025454834,      -2.847064337,      -10.74680276
          0,           0,          18,       -4.88620054,      -4.030785631,      -4.019951908,      -2.843823022,      -10.76411609
          0,           0,          19,      -4.881850022,      -4.014335058,      -4.015551538,      -2.840279308,      -10.77979631
          0,           0,          20,      -4.876823327,      -3.998035227,      -4.011684638,      -2.835976824,      -10.79402957
          0,           0,          21,      -4.870794506,      -3.982478419,      -4.007882848,      -2.830579269,      -10.80774664
          0,           0,          22,      -4.863570594,      -3.967981082,      -4.003817452,        -2.8238945,      -10.82351763
          0,           0,          23,      -4.855103792,      -3.954676146,       -3.99929449,      -2.815881367,      -10.83677058
          0,           0,          24,      -4.845484089,        -3.9425793,      -3.994223835,      -2.806637249,      -10.84712324
          0,           0,          25,      -4.834908259,      -3.931633551,      -3.988583745,      -2.796363808,      -10.85565419
          0,           0,          26,      -4.823628607,      -3.921741251,      -3.982395817,      -2.785314458,      -10.86266035
          0,           0,          27,      -4.811894538,      -3.912789677,      -3.975714269,      -2.773736222,      -10.86823927
          0,           0,          28,       -4.79990313,      -3.904671828,      -3.968625558,      -2.761821615,      -10.87243689
          0,           0,          29,      -4.787769989,       -3.89730075,      -3.961249793,      -2.749681258,      -10.87525243
          0,           0,          30,      -4.775525724,      -3.890616584,       -3.95373725,      -2.737342382,      -10.87668538
          0,           0,          31,      -4.763135509,      -3.884585082,      -3.946257027,      -2.724770468,      -10.87706322
          0,           0,          32,      -4.750533119,      -3.879189029,      -3.938979087,      -2.711904905,       -10.8772896
          0,           0,          33,      -4.737658791,      -3.874418404,      -3.932053694,      -2.698697476,      -10.87629189
          0,           0,          34,       -4.72448983,      -3.870259106,       -3.92559311,      -2.685142196,      -10.87345311
          0,           0,          35,      -4.711056619,      -3.866685065,      -3.919659115,      -2.671289246,      -10.86925221
          0,           0,          36,      -4.697442327,      -3.863655673,      -3.914257934,        -2.6572419,      -10.86403034
          0,           0,          37,      -4.683770192,      -3.861116662,      -3.909341896,      -2.643141173,      -10.85802566
          0,           0,          38,      -4.670185186,      -3.859001037,      -3.904815609,      -2.629145707,      -10.85144053
