"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -3.957274518,      -11.53371319
          0,           0,           1,      -4.962706777,      -4.900331383,      -5.460360118,      -4.610168859,      -4.342154667,      -11.59052368
          0,           0,           2,      -4.995659485,      -4.889502511,      -5.302989338,      -4.972767104,      -4.379176005,      -11.41133473
          0,           0,           3,      -5.111156161,       -4.98230591,      -5.248750761,      -5.054642617,      -4.510599501,       -11.4538022
          0,           0,           4,      -5.134578691,      -5.027085751,      -5.238886048,      -5.048869017,      -4.545174817,      -11.60336321
          0,           0,           5,      -5.146633574,      -5.049174888,      -5.240769647,      -5.065294532,      -4.562363349,      -11.59370584
          0,           0,           6,      -5.167132326,      -5.067891661,      -5.238045469,      -5.087692892,      -4.583238489,       -11.6143686
          0,           0,           7,      -5.190598181,      -5.080834514,      -5.227393467,      -5.108310964,      -4.603992465,      -11.62558814
          0,           0,           8,      -5.207965371,      -5.088979431,      -5.219836824,      -5.128219623,      -4.618140089,      -11.62203118
          0,           0,           9,      -5.218704789,      -5.098079084,      -5.222502848,       -5.14673347,      -4.626168418,       -11.6053581
          0,           0,          10,      -5.227227782,      -5.110014824,      -5.233514886,      -5.162801414,      -4.632491695,      -11.57933584
          0,           0,          11,      -5.236757172,        -5.1234717,      -5.247260281,      -5.178015047,       -4.63999039,      -11.54535734
          0,           0,          12,      -5.248468504,      -5.138175712,      -5.259858262,      -5.195403257,      -4.649879965,      -11.50312969
          0,           0,          13,      -5.262221304,      -5.155593033,      -5.271095232,      -5.217087518,      -4.662485309,      -11.45256987
          0,           0,          14,      -5.277156411,      -5.176640521,      -5.282857972,      -5.243134361,       -4.67698305,      -11.39479218
          0,           0,          15,      -5.291855112,      -5.200291091,      -5.297003944,      -5.271375558,      -4.691348763,      -11.33172104
          0,           0,          16,      -5.305484067,      -5.224814731,      -5.314409423,      -5.298841192,      -4.704157017,      -11.26553109
          0,           0,          17,      -5.318177692,      -5.249408441,      -5.335031227,      -5.323828278,      -4.715572992,      -11.19854263
          0,           0,          18,      -5.330457327,       -5.27458009,      -5.358297268,      -5.346681338,      -4.726629348,      -11.13320347
          0,           0,          19,      -5.342976941,      -5.301340209,        -5.3834218,      -5.368942333,      -4.738465452,       -11.0717609
          0,           0,          20,      -5.356175976,      -5.330292552,      -5.409545932,       -5.39206882,       -4.75164729,      -11.01413812
          0,           0,          21,      -5.369801987,      -5.361363547,       -5.43586787,      -5.416757862,      -4.765713409,      -10.95825667
          0,           0,          22,      -5.384024826,      -5.394144872,      -5.461813263,      -5.442855873,      -4.780511172,      -10.90393355
          0,           0,          23,      -5.399010941,      -5.427892058,       -5.48715243,      -5.469684637,      -4.795944043,      -10.84518919
          0,           0,          24,      -5.414693482,      -5.462207872,      -5.511961725,      -5.496538242,      -4.811840233,       -10.7814166
          0,           0,          25,      -5.431236387,      -5.496725068,      -5.536457065,        -5.5230056,      -4.828397525,      -10.72198216
          0,           0,          26,      -5.449425893,      -5.530998195,      -5.560797248,      -5.548920432,       -4.84647181,      -10.62041031
          0,           0,          27,      -5.469568791,      -5.564036692,      -5.585097364,      -5.574449214,      -4.866444647,       -10.4407971
          0,           0,          28,      -5.491295145,      -5.597016931,      -5.609457873,      -5.600068401,      -4.888017717,      -10.48908493
          0,           0,          29,      -5.514494822,      -5.629710258,      -5.633927243,      -5.626240822,      -4.911148595,      -10.42784777
          0,           0,          30,      -5.539416841,      -5.661449184,      -5.658456915,      -5.653046845,      -4.936096784,      -10.36944607
          0,           0,          31,      -5.565948226,      -5.692837799,      -5.683006114,      -5.680457517,       -4.96271517,      -10.31249657
          0,           0,          32,      -5.593832104,      -5.723882269,      -5.707549735,       -5.70837741,      -4.990708345,      -10.25865636
          0,           0,          33,       -5.62263242,      -5.754749377,      -5.732056602,      -5.736670617,      -5.019649737,      -10.20908715
          0,           0,          34,      -5.651832257,      -5.785195207,      -5.756469901,      -5.765168292,      -5.049043748,      -10.16348791
          0,           0,          35,      -5.681419348,      -5.814780686,      -5.780747098,      -5.793591498,      -5.078882054,      -10.12164159
          0,           0,          36,      -5.711109607,      -5.844807835,      -5.804877589,      -5.821824782,      -5.108896004,      -10.08299816
          0,           0,          37,      -5.740578734,      -5.875186556,      -5.828852435,      -5.849896058,      -5.138791875,      -10.04886257
          0,           0,          38,      -5.769412729,      -5.904870204,      -5.852662159,      -5.877964986,      -5.168190999,      -10.01739078
          0,           0,          39,      -5.797271278,      -5.932973101,      -5.876300957,       -5.90620359,      -5.196762877,      -9.988653663
          0,           0,          40,      -5.823829586,      -5.959125877,      -5.899777378,      -5.934740205,      -5.224161164,      -9.962207987
          0,           0,          41,      -5.848814974,      -5.982701119,      -5.923098731,      -5.963588242,      -5.250046741,      -9.937740787
          0,           0,          42,      -5.872093292,      -6.002754348,      -5.946252761,      -5.992644581,      -5.274179682,      -9.914723777
          0,           0,          43,      -5.893678199,      -6.019342454,      -5.969219002,      -6.021736375,      -5.296459466,      -9.892899367
          0,           0,          44,      -5.913729466,      -6.032570852,      -5.991999833,      -6.050662125,       -5.31695717,      -9.871885278
          0,           0,          45,      -5.932575831,      -6.042734105,      -6.014642293,      -6.079223027,      -5.335960682,      -9.852073762
          0,           0,          46,      -5.950643563,      -6.050333202,      -6.037237718,      -6.107267525,      -5.353912014,      -9.832659962
          0,           0,          47,      -5.968395949,      -6.056455034,      -6.059938982,      -6.134765691,      -5.371336563,      -9.813806819
          0,           0,          48,      -5.986299591,      -6.061977264,      -6.082937336,      -6.161770539,      -5.388795294,      -9.795546962
          0,           0,          49,      -6.004721211,      -6.066981291,      -6.106430471,      -6.188387911,      -5.406762967,      -9.777908532
          0,           0,          50,      -6.023957793,      -6.072029474,      -6.130600468,      -6.214777799,       -5.42564444,      -9.760884647
          0,           0,          51,      -6.044117606,      -6.077340266,      -6.155585474,      -6.241139398,      -5.445638263,      -9.744534118
