"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.204927974,      -5.218571093,      -6.418470115,      -6.101420299,      -4.597761973
          0,           0,           1,       -4.89114793,      -4.670993322,      -4.934284982,      -4.757645159,      -4.265542525
          0,           0,           2,       -4.80536603,      -4.630200361,      -4.659344994,      -4.518367753,      -4.188905535
          0,           0,           3,       -4.71038158,      -4.569976681,      -4.587604987,      -4.375618609,      -4.095984379
          0,           0,           4,      -4.706364985,      -4.568127971,      -4.515226132,      -4.303319072,      -4.089485247
          0,           0,           5,      -4.752661953,      -4.691776229,       -4.49008385,      -4.304093555,      -4.141887299
          0,           0,           6,      -4.724234084,      -4.735074758,      -4.503216342,      -4.337286193,       -4.12540695
          0,           0,           7,      -4.711574434,      -4.692327975,      -4.538943719,      -4.375134814,      -4.101302669
          0,           0,           8,      -4.773468501,      -4.724332333,      -4.599752489,      -4.413294803,      -4.148328076
          0,           0,           9,      -4.848199447,        -4.8286649,      -4.684201664,      -4.472343021,      -4.228153663
          0,           0,          10,      -4.896234817,      -4.921540258,      -4.760228402,      -4.536880221,      -4.295443489
          0,           0,          11,      -4.959909735,      -4.991217573,      -4.850033122,      -4.618999932,      -4.357246313
